fw_post,group,feature,omega2,w_in_group,group_cap,weight
ST,finishing,Gls,0.14745020163798284,0.4563994355586003,0.35,0.1597398024455101
ST,finishing,xG,0.07685444584507613,0.23788591208563106,0.35,0.08326006922997087
ST,finishing,npxG,0.07085098782618314,0.2193035376922094,0.35,0.07675623819227329
ST,box_presence,Touches_Att3rd,0.2814086417314877,0.38425050661840915,0.15,0.05763757599276137
ST,defense_work,Interceptions,0.19430977348642597,0.50920388465244,0.1,0.05092038846524401
ST,defense_work,Fls,0.1423461567395796,0.37302918261186974,0.1,0.03730291826118697
ST,carry_dribble,PrgC,0.4110613870731037,0.23404904842305546,0.15,0.035107357263458316
ST,carry_dribble,Carry_FinalThird,0.3740190516816532,0.21295798119470785,0.15,0.03194369717920618
ST,box_presence,PrgR,0.14583857162971492,0.19913583566027632,0.15,0.029870375349041446
ST,finishing,PK,0.027342978199662752,0.08463413191835574,0.35,0.029621946171424506
ST,link_creation,SCA90,0.4033213564167837,0.11674350210452825,0.25,0.02918587552613206
ST,box_presence,Rec,0.14198450842424615,0.19387329030939898,0.15,0.029080993546409847
ST,link_creation,SCA,0.4015837642362705,0.11624054684774554,0.25,0.029060136711936385
ST,link_creation,xAG,0.38858347711819985,0.11247754490802282,0.25,0.028119386227005706
ST,link_creation,GCA90,0.3448798941614725,0.09982731142122549,0.25,0.024956827855306372
ST,link_creation,GCA,0.3443761072042941,0.09968148761903929,0.25,0.024920371904759823
ST,carry_dribble,Carry_PenArea,0.28799755554795803,0.16397928860240563,0.15,0.024596893290360845
ST,box_presence,Touches_AttPen,0.11813454593990161,0.1613072677769999,0.15,0.024196090166549986
ST,link_creation,KP,0.28735215725394253,0.0831756033777942,0.25,0.02079390084444855
ST,carry_dribble,TakeOn_Att,0.20130752268543636,0.11461994633066787,0.15,0.01719299194960018
ST,carry_dribble,Carry_PrgDist,0.19621738365177163,0.1117217363926023,0.15,0.016758260458890343
ST,link_creation,FinalThird_Pass,0.21023435374296398,0.060853446831298286,0.25,0.015213361707824571
ST,link_creation,PPA,0.2053164282412745,0.05942992725560019,0.25,0.014857481813900047
ST,carry_dribble,TakeOn_Succ,0.15372907238963815,0.087529853786425,0.15,0.01312947806796375
ST,link_creation,Pass_Att,0.17820842702067485,0.051583372771943456,0.25,0.012895843192985864
ST,link_creation,Pass_Cmp,0.16957712050217522,0.04908499539946927,0.25,0.012271248849867317
ST,defense_work,Fld,0.044939299784961834,0.11776693273569021,0.1,0.011776693273569021
ST,link_creation,xA,0.16191826185400232,0.04686809821193901,0.25,0.011717024552984753
ST,carry_dribble,TakeOn_Tackled,0.13197248470140777,0.07514214527013593,0.15,0.01127132179052039
ST,link_creation,Touches,0.1496072216627389,0.043304602444577546,0.25,0.010826150611144386
ST,link_creation,Touches_Live,0.14916564919436406,0.04317678695558631,0.25,0.010794196738896578
ST,box_presence,Offsides,0.037711834004381654,0.051493768039716815,0.15,0.007724065205957522
ST,link_creation,A-xAG,0.060640707456391336,0.017552773851230417,0.25,0.004388193462807604
ST,box_presence,Aerials_Won%,0.00727914148647157,0.00993933159519889,0.15,0.0014908997392798333
ST,finishing,Sh,0.0005740946278051158,0.0017769827452035487,0.35,0.000621943960821242
ST,finishing,SoT,0.0,0.0,0.35,0.0
ST,box_presence,Aerials_Won,0.0,0.0,0.15,0.0
ST,finishing,PKatt,0.0,0.0,0.35,0.0
ST,finishing,G/SoT,0.0,0.0,0.35,0.0
ST,finishing,SoT/90,0.0,0.0,0.35,0.0
ST,finishing,npxG/Sh,0.0,0.0,0.35,0.0
ST,finishing,G-xG,0.0,0.0,0.35,0.0
ST,finishing,np:G-xG,0.0,0.0,0.35,0.0
ST,finishing,G/Sh,0.0,0.0,0.35,0.0
ST,finishing,SoT%,0.0,0.0,0.35,0.0
ST,finishing,Sh/90,0.0,0.0,0.35,0.0
ST,link_creation,PrgP,0.0,0.0,0.25,0.0
ST,link_creation,Pass_Cmp%,0.0,0.0,0.25,0.0
ST,defense_work,Tackles_Won,0.0,0.0,0.1,0.0
ST,carry_dribble,TakeOn_Tackled%,0.0,0.0,0.15,0.0
ST,carry_dribble,TakeOn_Succ%,0.0,0.0,0.15,0.0
ST,defense_work,Recoveries,0.0,0.0,0.1,0.0
NON_ST,involvement,Touches_AttPen,0.04102476591700764,0.9132412272335699,0.15,0.13698618408503546
NON_ST,carry_dribble,Carry_FinalThird,0.038491548498044974,0.45617733579867176,0.3,0.1368532007396015
NON_ST,defense_work,Tackles_Won,0.01538602283602096,1.0,0.1,0.09999999999999998
NON_ST,threat,xAG,0.05021942553579606,0.35042200739938484,0.25,0.0876055018498462
NON_ST,carry_dribble,TakeOn_Tackled,0.024408317328146998,0.28927184289944025,0.3,0.08678155286983205
NON_ST,carry_dribble,Carry_PenArea,0.021478610431630598,0.2545508213018881,0.3,0.07636524639056641
NON_ST,wide_creation,Pass_Cross,0.1606835461275259,0.3174704190037798,0.2,0.06349408380075595
NON_ST,wide_creation,Crs,0.1606835461275259,0.3174704190037798,0.2,0.06349408380075595
NON_ST,threat,xG,0.03185159293872401,0.22225461596528817,0.25,0.05556365399132203
NON_ST,threat,npxG,0.03153568734950237,0.2200502842840182,0.25,0.05501257107100454
NON_ST,threat,Gls,0.029704571651081195,0.20727309235130878,0.25,0.05181827308782718
NON_ST,wide_creation,CrsPA,0.12960413671880286,0.2560652946760744,0.2,0.05121305893521487
NON_ST,wide_creation,FinalThird_Pass,0.04119667905129443,0.08139431370028888,0.2,0.016278862740057774
NON_ST,involvement,Miscontrols,0.0038973912235341275,0.08675877276643007,0.15,0.013013815914964507
NON_ST,wide_creation,GCA,0.007031977803970053,0.013893425889915828,0.2,0.0027786851779831655
NON_ST,wide_creation,GCA90,0.0069371792610704985,0.013706127726161189,0.2,0.0027412255452322373
NON_ST,carry_dribble,Carry_PrgDist,0.0,0.0,0.3,0.0
NON_ST,carry_dribble,PrgC,0.0,0.0,0.3,0.0
NON_ST,threat,xA,0.0,0.0,0.25,0.0
NON_ST,threat,KP,0.0,0.0,0.25,0.0
NON_ST,threat,SoT/90,0.0,0.0,0.25,0.0
NON_ST,threat,Sh/90,0.0,0.0,0.25,0.0
NON_ST,threat,Sh,0.0,0.0,0.25,0.0
NON_ST,threat,SoT,0.0,0.0,0.25,0.0
NON_ST,threat,npxG+xAG,0.0,0.0,0.25,0.0
NON_ST,threat,A-xAG,0.0,0.0,0.25,0.0
NON_ST,carry_dribble,PrgR,0.0,0.0,0.3,0.0
NON_ST,carry_dribble,TakeOn_Tackled%,0.0,0.0,0.3,0.0
NON_ST,carry_dribble,TakeOn_Succ%,0.0,0.0,0.3,0.0
NON_ST,carry_dribble,TakeOn_Succ,0.0,0.0,0.3,0.0
NON_ST,wide_creation,PPA,0.0,0.0,0.2,0.0
NON_ST,wide_creation,SCA90,0.0,0.0,0.2,0.0
NON_ST,wide_creation,SCA,0.0,0.0,0.2,0.0
NON_ST,carry_dribble,TakeOn_Att,0.0,0.0,0.3,0.0
NON_ST,involvement,Touches_Att3rd,0.0,0.0,0.15,0.0
NON_ST,involvement,Pass_Att,0.0,0.0,0.15,0.0
NON_ST,involvement,Touches_Live,0.0,0.0,0.15,0.0
NON_ST,involvement,Touches,0.0,0.0,0.15,0.0
NON_ST,involvement,Pass_Cmp%,0.0,0.0,0.15,0.0
NON_ST,involvement,Pass_Cmp,0.0,0.0,0.15,0.0
NON_ST,involvement,PrgP,0.0,0.0,0.15,0.0
NON_ST,involvement,Dispossessed,0.0,0.0,0.15,0.0
NON_ST,defense_work,Interceptions,0.0,0.0,0.1,0.0
NON_ST,defense_work,Recoveries,0.0,0.0,0.1,0.0
NON_ST,defense_work,Fls,0.0,0.0,0.1,0.0
NON_ST,defense_work,Fld,0.0,0.0,0.1,0.0
