Player,Squad,Min_num,source_df_post,source_mf_post,source_fw_post,target_family,target_post,target_role,target_post_rating_0100,target_role_rating_0100,target_role_rating_shrunk_0100,n_role_ref,role_sample_flag,minutes_flag
Bruno Fernandes,manchester utd,3018,,AM,,MF,DM,DM_CONTROLLER,99.20634920634922,100.0,99.7964997964998,29.0,OK,OK
Bruno Fernandes,manchester utd,3018,,AM,,MF,DM,DM_DESTROYER,99.20634920634922,100.0,99.6825396825397,15.0,OK,OK
Bruno Fernandes,manchester utd,3018,,AM,,MF,DM,DM_DEEP_CM,99.20634920634922,100.0,99.71655328798187,18.0,OK,OK
Bruno Fernandes,manchester utd,3018,,AM,,MF,CM,CM_PROGRESSOR,88.88888888888889,75.0,85.68376068376067,3.0,LOW_SAMPLE,OK
Bruno Fernandes,manchester utd,3018,,AM,,MF,CM,CM_BOX_TO_BOX,88.88888888888889,93.33333333333333,91.48148148148147,14.0,OK,OK
Bruno Fernandes,manchester utd,3018,,AM,,MF,AM,AM_ORGANIZER,95.45454545454545,90.0,93.8961038961039,4.0,LOW_SAMPLE,OK
Bruno Fernandes,manchester utd,3018,,AM,,MF,AM,AM_CLASSIC_10,95.45454545454545,96.55172413793103,96.26299290546115,28.0,OK,OK
Bruno Fernandes,manchester utd,3018,,AM,,DF,CB,CB_BUILDER,99.4949494949495,40.0,71.31313131313132,9.0,OK,OK
Bruno Fernandes,manchester utd,3018,,AM,,DF,CB,CB_DUEL,99.4949494949495,99.07407407407408,99.14087969643525,53.0,OK,OK
Bruno Fernandes,manchester utd,3018,,AM,,DF,CB,CB_HYBRID,99.4949494949495,97.2972972972973,97.77504777504778,36.0,OK,OK
Bruno Fernandes,manchester utd,3018,,AM,,DF,CB,WIDE_CB,99.4949494949495,,,0.0,LOW_SAMPLE,OK
Bruno Fernandes,manchester utd,3018,,AM,,DF,FB_WB,FB_WIDE,93.25842696629213,81.81818181818183,85.50858347886258,21.0,OK,OK
Bruno Fernandes,manchester utd,3018,,AM,,DF,FB_WB,FB_INVERTED,93.25842696629213,93.75,93.63010413812003,31.0,OK,OK
Bruno Fernandes,manchester utd,3018,,AM,,DF,FB_WB,FB_STAY_HOME,93.25842696629213,100.0,98.53444064484611,36.0,OK,OK
Bruno Fernandes,manchester utd,3018,,AM,,FW,ST,ST_FINISHER,100.0,100.0,100.0,30.0,OK,OK
Bruno Fernandes,manchester utd,3018,,AM,,FW,ST,ST_LINK,100.0,60.0,88.57142857142857,4.0,LOW_SAMPLE,OK
Bruno Fernandes,manchester utd,3018,,AM,,FW,ST,ST_RUNNER,100.0,100.0,100.0,7.0,OK,OK
Bruno Fernandes,manchester utd,3018,,AM,,FW,NON_ST,WIDE_WINGER,66.66666666666666,52.63157894736842,57.644110275689215,18.0,OK,OK
Bruno Fernandes,manchester utd,3018,,AM,,FW,NON_ST,INSIDE_FORWARD,66.66666666666666,74.07407407407408,72.01646090534979,26.0,OK,OK
