Player,Squad,mf_post,mf_role,cm_role,Rk,Nation,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Unnamed: 38,Gls.2,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK.1,PKatt.1,xG.2,npxG.2,npxG/Sh,G-xG,np:G-xG,Unnamed: 56,Pass_Cmp,Pass_Att,Pass_Cmp%,TotDist,PrgDist,Pass_Short_Cmp,Pass_Short_Att,Pass_Short_Cmp%,Pass_Med_Cmp,Pass_Med_Att,Pass_Med_Cmp%,Pass_Long_Cmp,Pass_Long_Att,Pass_Long_Cmp%,Ast.2,xAG.2,xA,A-xAG,KP,FinalThird_Pass,PPA,CrsPA,PrgP.1,Unnamed: 80,PassType_Att,Pass_Live,Pass_Dead,Pass_FK,Pass_TB,Pass_Switch,Pass_Cross,Pass_TI,Pass_CK,Corner_In,Corner_Out,Corner_Straight,Pass_Cmp.1,Pass_Offside,Pass_Blocked,Unnamed: 96,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Shot,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Shot,GCA_Fld,GCA_Def,Unnamed: 113,Tackles,Tackles_Won,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackled_%,Challenges_Lost,Blocks_Total,Shots_Blocked,Passes_Blocked,Interceptions,Tackles_Interceptions,Clearances,Errors_LeadingShot,Unnamed: 130,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,TakeOn_Att,TakeOn_Succ,TakeOn_Succ%,TakeOn_Tackled,TakeOn_Tackled%,Carries,Carry_TotDist,Carry_PrgDist,PrgC.1,Carry_FinalThird,Carry_PenArea,Miscontrols,Dispossessed,Rec,PrgR.1,Unnamed: 153,CrdY.1,CrdR.1,2CrdY,Fls,Fld,Offsides,Crs,Interceptions.1,Tackles_Won.1,PKwon,PKcon,OG,Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won%,Min_num,minutes_flag,mf_post_score_raw,mf_post_rating_0100,mf_role_score_raw,mf_role_rating_0100,mf_role_rating_shrunk_0100,n_post,n_role,role_sample_flag
Martin Ødegaard,arsenal,AM,AM_CLASSIC_10,,13,no NOR,MF,25.0,1998.0,30,26,2325,25.8,0.12,0.31,0.43,0.08,0.04,0.04,0.16,0.0,0.19,0.16,0.21,0.37,3.57,10.0,5.97,0.12,0.31,0.43,0.08,0.39,0.19,0.21,0.4,0.16,0.37,MF,0.12,1.86,0.58,31.3,1.86,0.58,0.04,0.13,19.2,0.12,0.04,0.04,0.19,0.16,0.08,-0.07,-0.08,,47.9,58.1,82.5,745.6,211.6,26.3,29.0,90.5,17.4,20.0,86.8,3.1,5.66,54.8,0.31,0.21,0.26,0.1,2.44,5.12,3.33,0.19,10.0,,58.1,53.2,4.42,1.36,0.97,0.12,3.33,0.47,1.43,1.2,0.0,0.0,47.9,0.47,1.05,,4.81,4.8,3.91,0.5,0.12,0.19,0.08,0.0,0.7,0.7,0.54,0.08,0.04,0.04,0.0,0.0,,0.74,0.43,0.35,0.27,0.12,0.16,0.97,16.0,0.81,0.19,0.0,0.19,0.23,0.97,0.23,0.04,,65.7,0.35,4.88,27.4,33.9,4.46,65.6,2.29,0.97,42.4,1.24,54.2,45.5,288.5,146.2,3.57,3.29,1.01,1.47,1.55,51.8,5.97,,0.16,0.0,0.0,0.47,0.89,0.04,3.33,0.23,0.43,0.0,0.0,0.0,3.76,0.31,0.27,53.3,2325,OK,1.1124587482872952,90.625,1.4235347819119395,96.42857142857143,94.90131578947368,32.0,28.0,OK
Declan Rice,arsenal,CM,,CM_BOX_TO_BOX,14,eng ENG,MF,25.0,1999.0,35,33,2825,31.4,0.13,0.22,0.35,0.13,0.0,0.0,0.22,0.03,0.11,0.11,0.21,0.32,2.87,6.11,2.99,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32,MF,0.13,1.53,0.45,29.2,1.53,0.45,0.08,0.29,19.6,0.06,0.0,0.0,0.11,0.11,0.07,0.02,0.02,,43.8,52.5,83.4,745.3,198.5,21.6,23.5,92.0,17.6,19.5,90.5,3.73,7.64,48.8,0.22,0.21,0.18,0.01,1.88,4.36,1.11,0.16,6.11,,52.5,45.7,6.62,2.26,0.16,0.54,5.22,0.13,3.44,2.99,0.1,0.0,43.8,0.19,0.48,,3.54,3.54,1.97,1.05,0.13,0.16,0.16,0.06,0.32,0.32,0.19,0.06,0.03,0.03,0.0,0.0,,1.69,0.8,0.7,0.8,0.19,0.54,1.31,41.5,0.76,0.86,0.41,0.45,0.8,2.48,1.62,0.0,,62.0,2.61,10.4,28.9,23.3,2.58,62.0,0.92,0.45,48.3,0.45,48.3,32.8,205.9,108.1,2.87,1.85,0.51,1.15,1.02,40.3,2.99,,0.22,0.03,0.03,0.67,0.51,0.06,5.22,0.8,0.8,0.0,0.0,0.0,4.97,1.18,0.8,59.7,2825,OK,-0.065505084456422,58.82352941176471,-0.01914984307112538,64.28571428571429,62.00980392156863,17.0,14.0,OK
Jorginho,arsenal,DM,DM_CONTROLLER,,15,it ITA,MF,32.0,1991.0,15,9,704,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.01,0.01,0.05,0.06,1.54,6.15,0.77,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,MF,0.0,0.26,0.0,0.0,0.26,0.0,0.0,,23.2,0.0,0.0,0.0,0.01,0.01,0.03,-0.01,-0.01,,52.7,60.8,86.7,829.2,206.3,27.6,30.1,91.5,21.5,24.4,88.4,2.69,4.62,58.3,0.0,0.05,0.08,-0.05,0.38,5.64,1.28,0.0,6.15,,60.8,59.7,1.03,0.9,0.51,0.13,0.13,0.0,0.0,0.0,0.0,0.0,52.7,0.0,0.64,,1.54,1.54,1.28,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.54,0.51,0.13,0.9,0.51,1.03,2.56,40.0,1.54,0.38,0.0,0.38,0.9,2.44,0.26,0.26,,66.9,1.15,11.9,39.0,16.8,0.38,66.9,0.51,0.13,25.0,0.26,50.0,38.7,192.1,112.1,1.54,1.67,0.0,1.54,1.15,49.9,0.77,,0.64,0.0,0.0,1.92,2.18,0.0,0.13,0.9,0.51,0.0,0.0,0.0,7.05,0.13,0.77,14.3,704,OK,0.28414450235093947,70.96774193548387,0.26651998353064604,72.41379310344827,72.04301075268818,62.0,29.0,OK
Amadou Onana,aston villa,DM,DM_DEEP_CM,,40,be BEL,MF,22.0,2001.0,26,20,1617,18.0,0.17,0.0,0.17,0.17,0.0,0.0,0.22,0.0,0.12,0.12,0.04,0.16,1.61,4.17,0.89,0.17,0.0,0.17,0.17,0.17,0.12,0.04,0.16,0.12,0.16,MF,0.17,0.94,0.33,35.3,0.95,0.33,0.18,0.5,14.7,0.0,0.0,0.0,0.12,0.12,0.12,0.05,0.05,,39.1,44.6,87.7,614.3,160.9,20.3,21.8,92.9,16.1,18.1,89.2,1.89,2.67,70.8,0.0,0.04,0.04,-0.04,0.56,3.83,0.67,0.11,4.17,,44.6,44.2,0.28,0.22,0.17,0.0,0.11,0.0,0.0,0.0,0.0,0.0,39.1,0.06,0.61,,1.78,1.78,1.39,0.11,0.06,0.22,0.0,0.0,0.22,0.22,0.11,0.06,0.0,0.06,0.0,0.0,,3.06,1.67,1.28,1.44,0.33,0.89,1.61,55.2,0.72,0.89,0.39,0.5,1.44,4.5,2.28,0.17,,55.4,3.94,14.9,32.6,8.83,1.28,55.4,1.11,0.78,70.0,0.17,15.0,30.7,162.8,87.6,1.61,1.39,0.06,0.61,0.5,37.3,0.89,,0.22,0.0,0.0,1.78,1.67,0.0,0.11,1.44,1.67,0.0,0.0,0.0,4.0,1.78,1.17,60.4,1617,OK,-0.006707041869532044,54.83870967741935,-0.4047857444750362,16.666666666666664,30.29953917050691,62.0,18.0,OK
Boubacar Kamara,aston villa,DM,DM_CONTROLLER,,41,fr FRA,MF,24.0,1999.0,26,20,1726,19.2,0.05,0.0,0.05,0.05,0.0,0.0,0.1,0.0,0.04,0.04,0.05,0.09,0.99,4.43,0.36,0.05,0.0,0.05,0.05,0.05,0.04,0.05,0.09,0.04,0.09,MF,0.05,0.52,0.16,30.0,0.52,0.16,0.1,0.33,19.6,0.0,0.0,0.0,0.04,0.04,0.08,0.01,0.01,,43.0,48.5,88.6,679.9,210.3,21.9,23.6,92.7,18.6,20.3,91.5,1.77,3.23,54.8,0.0,0.05,0.04,-0.05,0.57,4.74,0.52,0.0,4.43,,48.5,47.1,1.41,1.3,0.26,0.0,0.05,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.42,,1.41,1.41,1.04,0.05,0.05,0.1,0.05,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,,2.6,1.09,1.46,0.94,0.21,1.51,2.92,51.8,1.41,0.99,0.36,0.63,0.99,3.59,2.66,0.16,,58.0,4.95,17.9,33.2,7.34,0.63,58.0,1.41,0.47,33.3,0.47,33.3,30.8,155.0,71.4,0.99,0.68,0.1,0.63,0.89,39.3,0.36,,0.1,0.0,0.0,1.56,1.82,0.0,0.05,0.99,1.09,0.0,0.0,0.0,4.53,1.09,1.35,44.7,1726,OK,-0.15189682196768903,38.70967741935484,-0.1087256155799462,37.93103448275862,38.13068651778329,62.0,29.0,OK
Youri Tielemans,aston villa,CM,,CM_PROGRESSOR,39,be BEL,MF,27.0,1997.0,36,35,3026,33.6,0.09,0.21,0.3,0.09,0.0,0.03,0.12,0.0,0.1,0.07,0.21,0.28,1.16,6.99,1.43,0.09,0.21,0.3,0.09,0.3,0.1,0.21,0.31,0.07,0.28,MF,0.09,1.19,0.36,30.0,1.19,0.36,0.08,0.25,20.1,0.0,0.0,0.03,0.1,0.07,0.06,-0.01,0.01,,50.4,61.3,82.2,864.6,304.9,23.4,26.1,89.8,21.9,25.1,87.3,4.17,7.71,54.1,0.21,0.21,0.17,0.0,1.79,6.82,1.13,0.12,6.99,,61.3,55.0,6.16,2.92,0.71,0.24,3.54,0.06,2.53,1.88,0.24,0.03,50.4,0.21,1.1,,3.63,3.63,2.35,0.92,0.09,0.18,0.06,0.03,0.36,0.36,0.27,0.09,0.0,0.0,0.0,0.0,,2.5,1.73,0.95,1.31,0.24,1.19,2.17,54.8,0.98,1.13,0.48,0.65,0.68,3.18,1.4,0.12,,71.0,3.07,14.3,40.7,16.8,1.34,71.0,1.82,0.92,50.8,0.57,31.1,38.3,165.5,75.9,1.16,0.77,0.27,0.92,0.86,49.6,1.43,,0.12,0.0,0.0,1.22,1.67,0.0,3.54,0.68,1.73,0.0,0.0,0.0,4.32,0.65,0.54,55.0,3026,OK,0.1660313683911678,76.47058823529412,0.07640703573165182,66.66666666666666,74.20814479638008,17.0,3.0,LOW_SAMPLE
Ross Barkley,aston villa,DM,DM_DEEP_CM,,42,eng ENG,MF,30.0,1993.0,20,3,581,6.5,0.46,0.15,0.62,0.46,0.0,0.0,0.46,0.0,0.28,0.28,0.09,0.37,2.31,5.54,1.54,0.46,0.15,0.62,0.46,0.62,0.27,0.1,0.37,0.27,0.37,MF,0.46,2.46,0.77,31.3,2.48,0.77,0.19,0.6,14.2,0.0,0.0,0.0,0.28,0.28,0.11,0.18,0.18,,51.8,60.8,85.3,804.9,193.8,27.1,30.9,87.6,21.8,23.8,91.6,2.0,3.08,65.0,0.15,0.09,0.06,0.06,1.38,4.92,0.92,0.0,5.54,,60.8,58.6,2.0,1.69,0.0,0.46,0.15,0.15,0.0,0.0,0.0,0.0,51.8,0.15,1.38,,2.77,2.78,2.31,0.15,0.31,0.0,0.0,0.0,0.46,0.46,0.46,0.0,0.0,0.0,0.0,0.0,,2.15,0.46,0.62,1.54,0.0,1.38,2.15,64.3,0.77,1.38,0.46,0.92,1.54,3.69,0.77,0.0,,71.4,2.62,11.5,42.3,18.6,2.92,71.4,2.46,1.85,75.0,0.62,25.0,42.6,240.0,112.8,2.31,2.31,0.31,1.08,1.23,50.5,1.54,,0.46,0.0,0.0,1.23,0.46,0.0,0.15,1.54,0.46,0.0,0.0,0.0,6.62,0.92,0.62,60.0,581,LOW_MIN,1.0592064747556336,99.19354838709677,1.0631751752542637,100.0,99.71198156682027,62.0,18.0,OK
Marco Asensio,aston villa,AM,AM_CLASSIC_10,,43,es ESP,MF,28.0,1996.0,13,9,743,8.3,0.36,0.12,0.48,0.36,0.0,0.24,0.24,0.0,0.53,0.35,0.12,0.46,2.65,5.42,4.58,0.36,0.12,0.48,0.36,0.48,0.54,0.12,0.66,0.35,0.47,MF,0.36,2.65,1.08,40.9,2.66,1.09,0.14,0.33,19.6,0.12,0.0,0.24,0.53,0.35,0.13,-0.17,0.01,,29.2,37.7,77.3,431.4,130.2,16.6,18.3,90.8,10.1,12.4,81.6,1.33,3.98,33.3,0.12,0.12,0.14,0.0,1.93,2.41,1.33,0.24,5.42,,37.7,32.7,4.7,1.69,0.24,0.12,4.58,0.0,2.77,1.33,0.12,0.0,29.2,0.36,0.96,,4.22,4.24,2.65,0.84,0.12,0.12,0.36,0.12,0.36,0.36,0.24,0.0,0.0,0.12,0.0,0.0,,0.84,0.6,0.0,0.84,0.0,0.36,1.08,33.3,0.72,0.84,0.12,0.72,0.24,1.08,0.36,0.0,,46.5,0.72,4.58,19.0,24.1,3.61,46.3,2.29,1.45,63.2,0.6,26.3,29.2,176.6,82.2,2.65,2.53,0.6,1.08,0.96,31.9,4.58,,0.24,0.0,0.0,1.33,0.96,0.24,4.58,0.24,0.6,0.0,0.0,0.0,3.37,0.0,0.12,0.0,743,OK,-0.030543920210481735,56.25,0.1404807023884499,60.71428571428571,59.53947368421052,32.0,28.0,OK
Tyler Adams,bournemouth,DM,DM_CONTROLLER,,71,us USA,MF,25.0,1999.0,28,21,1965,21.8,0.0,0.14,0.14,0.0,0.0,0.0,0.32,0.0,0.07,0.07,0.05,0.12,0.64,3.49,0.46,0.0,0.14,0.14,0.0,0.14,0.07,0.05,0.12,0.07,0.12,MF,0.0,0.41,0.09,22.2,0.41,0.09,0.0,0.0,16.9,0.0,0.0,0.0,0.07,0.07,0.18,-0.07,-0.07,,41.4,49.0,84.4,657.0,161.7,20.0,22.4,89.4,18.0,20.3,88.7,1.74,2.98,58.5,0.14,0.05,0.04,0.09,0.83,3.07,0.18,0.05,3.49,,49.0,47.0,1.74,1.56,0.09,0.05,0.14,0.18,0.0,0.0,0.0,0.0,41.4,0.28,0.64,,1.88,1.88,1.61,0.0,0.0,0.05,0.05,0.18,0.18,0.18,0.14,0.0,0.0,0.0,0.0,0.05,,3.81,2.29,1.19,2.25,0.37,1.79,3.3,54.2,1.51,1.51,0.46,1.06,1.47,5.28,1.93,0.0,,61.3,2.84,16.0,35.7,10.3,0.83,61.3,0.83,0.18,22.2,0.46,55.6,30.4,153.1,66.4,0.64,1.01,0.05,1.28,0.55,34.7,0.46,,0.32,0.0,0.0,2.06,0.96,0.0,0.14,1.47,2.29,0.0,0.05,0.0,5.23,1.42,0.83,63.3,1965,OK,-0.10453620244415551,40.32258064516129,-0.029877736933510552,51.724137931034484,48.80066170388751,62.0,29.0,OK
Ryan Christie,bournemouth,DM,DM_DEEP_CM,,69,sct SCO,MF,29.0,1995.0,29,27,2117,23.5,0.09,0.13,0.21,0.09,0.0,0.0,0.38,0.0,0.08,0.08,0.15,0.23,1.45,5.83,1.87,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,MF,0.09,1.4,0.51,36.4,1.4,0.51,0.06,0.17,19.6,0.0,0.0,0.0,0.08,0.08,0.06,0.01,0.01,,35.6,44.9,79.3,633.3,181.7,15.7,17.7,88.2,16.1,18.3,87.9,3.49,7.15,48.8,0.13,0.15,0.13,-0.02,1.74,5.02,1.4,0.21,5.83,,44.9,42.1,2.55,0.89,0.34,0.38,2.04,0.13,1.11,0.72,0.13,0.09,35.6,0.26,0.81,,3.62,3.62,3.06,0.3,0.0,0.13,0.09,0.04,0.38,0.38,0.34,0.04,0.0,0.0,0.0,0.0,,2.3,1.4,0.81,1.15,0.34,1.15,2.72,42.2,1.57,1.87,0.47,1.4,1.28,3.57,2.17,0.13,,58.6,3.15,10.9,32.9,15.8,1.96,58.6,2.04,0.98,47.9,0.94,45.8,30.9,161.8,75.4,1.45,1.7,0.34,1.87,1.06,33.1,1.87,,0.38,0.0,0.0,1.83,1.32,0.04,2.04,1.28,1.4,0.0,0.0,0.0,7.74,0.85,1.19,41.7,2117,OK,0.8311885940136583,96.7741935483871,0.45792211265101973,88.88888888888889,91.70506912442397,62.0,18.0,OK
