Player,Squad,Pos,Min,Min_num,low_min_flag,fw_post,fw_role,fw_role_proba,runner_index_raw,runner_index_z_st,alt_role_any,alt_role_any_proba,p_fw_role_INSIDE_FORWARD,p_fw_role_ST_FINISHER,p_fw_role_ST_LINK,p_fw_role_ST_RUNNER,p_fw_role_WIDE_WINGER,p_any_INSIDE_FORWARD,p_any_ST_FINISHER,p_any_ST_LINK,p_any_ST_RUNNER,p_any_WIDE_WINGER
Gabriel Jesus,arsenal,FW,608,608,True,NON_ST,INSIDE_FORWARD,0.9986937419452497,77.16,0.0,ST_FINISHER,0.49999838299902233,0.9986937419452497,,,,0.0013062580537503005,0.4993468709728745,0.49999838299902233,1.6170007276362788e-06,0.0,0.0006531290268754768
Leandro Trossard,arsenal,FW,2546,2546,False,NON_ST,WIDE_WINGER,0.9999968079279669,89.34400000000002,0.0,ST_FINISHER,0.49999999999975,3.1920710331153974e-06,,,,0.9999968079279669,1.5960355165584966e-06,0.49999999999975,0.0,0.0,0.4999984039642334
Nathan Butler-Oyedeji,arsenal,FW,7,7,True,ST,ST_FINISHER,0.999999999999,11.844,-2.3133550696814633,INSIDE_FORWARD,0.49999999999975,,0.999999999999,0.0,0.0,,0.49999999999975,0.49999999999975,0.0,0.0,4.314686368500025e-137
Reiss Nelson,arsenal,FW,3,3,True,ST,ST_FINISHER,0.999999999999,3.2,-2.9365020009829452,INSIDE_FORWARD,0.49999999999974987,,0.999999999999,0.0,0.0,,0.49999999999974987,0.49999999999975,0.0,0.0,9.775628988338826e-17
Donyell Malen,aston villa,FW,305,305,True,NON_ST,INSIDE_FORWARD,0.9999999345207639,116.82700000000003,0.0,ST_FINISHER,0.49999999999975003,0.9999999345207639,,,,6.547823604604906e-08,0.49999996726063195,0.49999999999975003,0.0,0.0,3.27391180230409e-08
Jáder Durán,aston villa,FW,638,638,True,ST,ST_RUNNER,0.999999999999,49.744,0.4188601890328094,ST_FINISHER,0.49999999999975,,0.999999999999,4.199255835187484e-129,0.0,,0.49999999999975,0.49999999999975,2.0996279175947918e-129,0.0,8.578292437720404e-25
Marcus Rashford,aston villa,FW,444,444,True,NON_ST,INSIDE_FORWARD,0.9999999999989799,109.03599999999999,0.0,ST_FINISHER,0.49999999999975,0.9999999999989799,,,,2.0050755238322942e-14,0.49999999999973993,0.49999999999975,0.0,0.0,1.0025377619166483e-14
Ollie Watkins,aston villa,FW,2598,2598,False,ST,ST_RUNNER,0.999999999999,47.9245,0.28769222958081436,ST_FINISHER,0.49999999999975,,0.999999999999,1.416677809416651e-123,0.0,,0.49999999999975,0.49999999999975,7.0833890470867966e-124,0.0,5.547369898537016e-20
Antoine Semenyo,bournemouth,FW,3203,3203,False,NON_ST,INSIDE_FORWARD,0.9999785101002341,107.226,0.0,ST_FINISHER,0.49999999999975,0.9999785101002341,,,,2.148989876589298e-05,0.499989255050367,0.49999999999975,0.0,0.0,1.0744949382951863e-05
Dango Ouattara,bournemouth,FW,2005,2005,False,NON_ST,WIDE_WINGER,0.9998899573986929,88.80999999999999,0.0,ST_FINISHER,0.49999999999975,0.00011004260030712042,,,,0.9998899573986929,5.5021300153587715e-05,0.49999999999975,0.0,0.0,0.4999449786995964
Daniel Jebbison,bournemouth,FW,119,119,True,NON_ST,INSIDE_FORWARD,0.999999999999,94.88399999999999,0.0,ST_FINISHER,0.49999999999975,0.999999999999,,,,2.155393810636676e-28,0.49999999999975,0.49999999999975,0.0,0.0,1.0776969053188769e-28
Evanilson,bournemouth,FW,2319,2319,False,ST,ST_FINISHER,0.999999999999,40.137499999999996,-0.2736734754220368,INSIDE_FORWARD,0.49999999999975,,0.999999999999,7.137683384249009e-237,0.0,,0.49999999999975,0.49999999999975,3.5688416921262885e-237,0.0,4.88926510542991e-18
Remy Rees-Dottin,bournemouth,FW,1,1,True,ST,ST_FINISHER,0.999999999999,0.0,-3.167190360557765,INSIDE_FORWARD,0.4999999999997498,,0.999999999999,0.0,0.0,,0.4999999999997498,0.49999999999975,0.0,0.0,1.7225505567213776e-16
Zain Silcott-Duberry,bournemouth,FW,1,1,True,ST,ST_FINISHER,0.999999999999,6.000000000000001,-2.734649686354978,INSIDE_FORWARD,0.4999999999997499,,0.999999999999,0.0,0.0,,0.4999999999997499,0.49999999999975,0.0,0.0,7.596016697458987e-17
Bryan Mbeumo,brentford,FW,3414,3414,False,NON_ST,WIDE_WINGER,0.9999999999440493,101.92199999999997,0.0,ST_FINISHER,0.49999999999975,5.495072186787105e-11,,,,0.9999999999440493,2.7475360933949262e-11,0.49999999999975,0.0,0.0,0.4999999999722746
