Player,Squad,fw_post,fw_role,Rk,Nation,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Unnamed: 38,Gls.2,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK.1,PKatt.1,xG.2,npxG.2,npxG/Sh,G-xG,np:G-xG,Unnamed: 56,Pass_Cmp,Pass_Att,Pass_Cmp%,TotDist,PrgDist,Pass_Short_Cmp,Pass_Short_Att,Pass_Short_Cmp%,Pass_Med_Cmp,Pass_Med_Att,Pass_Med_Cmp%,Pass_Long_Cmp,Pass_Long_Att,Pass_Long_Cmp%,Ast.2,xAG.2,xA,A-xAG,KP,FinalThird_Pass,PPA,CrsPA,PrgP.1,Unnamed: 80,PassType_Att,Pass_Live,Pass_Dead,Pass_FK,Pass_TB,Pass_Switch,Pass_Cross,Pass_TI,Pass_CK,Corner_In,Corner_Out,Corner_Straight,Pass_Cmp.1,Pass_Offside,Pass_Blocked,Unnamed: 96,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Shot,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Shot,GCA_Fld,GCA_Def,Unnamed: 113,Tackles,Tackles_Won,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackled_%,Challenges_Lost,Blocks_Total,Shots_Blocked,Passes_Blocked,Interceptions,Tackles_Interceptions,Clearances,Errors_LeadingShot,Unnamed: 130,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,TakeOn_Att,TakeOn_Succ,TakeOn_Succ%,TakeOn_Tackled,TakeOn_Tackled%,Carries,Carry_TotDist,Carry_PrgDist,PrgC.1,Carry_FinalThird,Carry_PenArea,Miscontrols,Dispossessed,Rec,PrgR.1,Unnamed: 153,CrdY.1,CrdR.1,2CrdY,Fls,Fld,Offsides,Crs,Interceptions.1,Tackles_Won.1,PKwon,PKcon,OG,Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won%,Min_num,minutes_flag,fw_post_score_raw,fw_post_rating_0100,fw_role_score_raw,fw_role_rating_0100,fw_role_rating_shrunk_0100,n_post,n_role,role_sample_flag
Leandro Trossard,arsenal,NON_ST,WIDE_WINGER,22,be BEL,FW,29.0,1994.0,38,28,2546,28.3,0.28,0.25,0.53,0.28,0.0,0.0,0.14,0.04,0.25,0.25,0.22,0.47,2.83,3.57,7.99,0.28,0.25,0.53,0.28,0.53,0.25,0.22,0.47,0.25,0.47,FW,0.28,2.54,0.74,29.2,2.55,0.74,0.11,0.38,15.9,0.0,0.0,0.0,0.25,0.25,0.1,0.03,0.03,,25.1,33.7,74.5,404.1,105.0,13.3,15.5,85.9,9.72,12.6,77.0,1.52,3.07,49.4,0.25,0.22,0.14,0.03,1.45,1.59,1.7,0.35,3.57,,33.7,32.4,1.02,0.18,0.25,0.18,3.04,0.25,0.35,0.32,0.0,0.0,25.1,0.28,1.45,,3.29,3.29,2.54,0.07,0.25,0.21,0.14,0.07,0.28,0.28,0.28,0.0,0.0,0.0,0.0,0.0,,1.1,0.71,0.21,0.57,0.32,0.42,1.2,35.3,0.78,1.13,0.0,1.13,0.32,1.41,0.64,0.0,,45.2,0.6,4.77,14.1,26.9,5.58,45.2,3.04,1.34,44.2,1.31,43.0,29.3,177.5,78.4,2.83,1.94,1.06,2.33,1.84,33.8,7.99,,0.14,0.04,0.04,0.95,1.63,0.21,3.04,0.32,0.71,0.0,0.0,0.0,3.67,0.21,0.85,20.0,2546,OK,0.02867661383467387,56.81818181818182,0.11226479666258671,61.111111111111114,59.57792207792208,44.0,18.0,OK
Reiss Nelson,arsenal,ST,ST_FINISHER,23,eng ENG,FW,24.0,1999.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,,0.0,,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,LOW_MIN,-1.3743832835827818,9.75609756097561,-1.185083177198177,13.333333333333334,12.439024390243903,41.0,30.0,OK
Nathan Butler-Oyedeji,arsenal,ST,ST_FINISHER,25,eng ENG,FW,21.0,2003.0,1,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,FW,0.0,10.0,10.0,100.0,12.86,12.86,0.0,0.0,15.6,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7,LOW_MIN,-0.5062063155296209,21.951219512195124,-0.33833491252414766,30.0,27.98780487804878,41.0,30.0,OK
Gabriel Jesus,arsenal,NON_ST,INSIDE_FORWARD,24,br BRA,FW,27.0,1997.0,17,6,608,6.8,0.44,0.0,0.44,0.44,0.0,0.0,0.59,0.0,0.44,0.44,0.1,0.54,2.21,2.79,8.38,0.44,0.0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54,FW,0.44,2.94,1.03,35.0,2.96,1.04,0.15,0.43,11.1,0.0,0.0,0.0,0.44,0.44,0.15,0.0,0.0,,22.9,29.9,76.8,298.5,55.6,15.1,18.8,80.5,6.03,6.91,87.2,0.59,0.88,66.7,0.0,0.1,0.07,-0.1,1.18,1.47,1.32,0.15,2.79,,29.9,29.0,0.44,0.0,0.15,0.0,1.03,0.44,0.0,0.0,0.0,0.0,22.9,0.44,1.76,,2.65,2.66,1.47,0.0,0.15,0.74,0.15,0.15,0.59,0.59,0.15,0.0,0.0,0.44,0.0,0.0,,1.47,0.88,0.59,0.44,0.44,0.59,1.32,44.4,0.74,1.47,0.15,1.32,0.59,2.06,1.18,0.0,,44.0,1.32,4.12,15.9,24.3,7.06,44.0,3.24,1.32,40.9,1.47,45.5,26.3,140.1,63.5,2.21,0.88,1.62,1.91,1.91,31.9,8.38,,0.59,0.0,0.0,2.06,1.47,1.32,1.03,0.59,0.88,0.0,0.0,0.0,4.12,1.32,2.65,33.3,608,LOW_MIN,-0.13784153709648603,43.18181818181818,-0.12492923895036831,46.15384615384615,45.32828282828283,44.0,26.0,OK
Ollie Watkins,aston villa,ST,ST_RUNNER,50,eng ENG,FW,28.0,1995.0,38,31,2598,28.9,0.55,0.28,0.83,0.48,0.07,0.07,0.07,0.0,0.53,0.48,0.11,0.59,1.9,1.07,5.71,0.55,0.28,0.83,0.48,0.76,0.53,0.12,0.65,0.48,0.59,FW,0.55,2.84,1.25,43.9,2.84,1.25,0.17,0.39,12.1,0.0,0.07,0.07,0.53,0.48,0.17,0.02,0.01,,10.6,14.7,72.4,135.5,22.7,6.64,8.51,78.0,2.94,3.81,77.3,0.31,0.45,69.2,0.28,0.11,0.07,0.16,0.83,0.42,0.45,0.0,1.07,,14.7,14.4,0.21,0.0,0.03,0.03,0.24,0.0,0.0,0.0,0.0,0.0,10.6,0.1,0.59,,1.83,1.84,1.25,0.0,0.14,0.24,0.21,0.0,0.42,0.42,0.28,0.0,0.03,0.03,0.07,0.0,,0.35,0.24,0.0,0.21,0.14,0.1,0.38,27.3,0.28,0.38,0.1,0.28,0.28,0.62,0.52,0.07,,24.0,0.62,1.73,8.58,14.1,5.81,24.0,1.42,0.35,24.4,0.93,65.9,14.2,77.6,38.9,1.9,0.73,1.31,2.08,1.73,19.1,5.71,,0.07,0.0,0.0,1.0,1.14,0.55,0.24,0.28,0.24,0.07,0.0,0.0,1.49,1.8,2.46,42.3,2598,OK,0.6321018390868809,85.36585365853658,-0.09648029721809218,28.57142857142857,61.979913916786224,41.0,7.0,OK
Donyell Malen,aston villa,NON_ST,INSIDE_FORWARD,52,nl NED,FW,25.0,1999.0,14,2,305,3.4,0.88,0.0,0.88,0.88,0.0,0.0,0.0,0.0,0.65,0.65,0.06,0.71,3.53,1.76,8.82,0.89,0.0,0.89,0.89,0.89,0.64,0.05,0.69,0.64,0.69,FW,0.88,4.41,2.65,60.0,4.43,2.66,0.2,0.33,15.2,0.0,0.0,0.0,0.65,0.65,0.14,0.24,0.24,,15.6,22.6,68.8,209.4,42.4,9.71,11.8,82.5,4.12,5.59,73.7,0.88,2.06,42.9,0.0,0.06,0.06,-0.06,0.88,0.59,0.59,0.0,1.76,,22.6,20.9,1.47,0.0,0.0,0.59,2.35,0.29,0.0,0.0,0.0,0.0,15.6,0.29,0.88,,1.76,1.76,1.47,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.06,1.18,0.88,0.88,0.29,0.29,1.18,25.0,0.88,0.59,0.0,0.59,0.0,2.06,0.29,0.0,,37.9,0.59,2.65,9.71,27.6,7.35,37.9,3.24,1.18,36.4,1.47,45.5,23.2,191.8,108.8,3.53,2.06,2.06,2.35,2.06,25.6,8.82,,0.0,0.0,0.0,0.29,1.47,0.59,2.35,0.0,1.18,0.0,0.0,0.0,2.65,1.18,1.18,50.0,305,LOW_MIN,0.29622947411374173,79.54545454545455,0.28165366408142023,69.23076923076923,72.09595959595958,44.0,26.0,OK
Marcus Rashford,aston villa,NON_ST,INSIDE_FORWARD,51,eng ENG,FW,26.0,1997.0,10,4,444,4.9,0.41,0.41,0.82,0.2,0.2,0.2,0.0,0.0,0.63,0.47,0.47,0.92,4.49,2.65,8.57,0.41,0.41,0.81,0.2,0.61,0.62,0.46,1.08,0.46,0.92,FW,0.41,3.67,1.02,27.8,3.65,1.01,0.06,0.2,19.4,0.41,0.2,0.2,0.63,0.47,0.13,-0.22,-0.27,,23.9,33.5,71.3,361.6,91.2,13.7,15.7,87.0,7.35,9.59,76.6,1.84,5.1,36.0,0.41,0.47,0.43,-0.06,2.65,0.41,1.84,0.41,2.65,,33.5,27.3,5.92,1.02,0.61,0.2,5.71,0.2,4.29,3.06,0.0,0.0,23.9,0.2,1.84,,5.51,5.49,2.86,1.02,0.61,0.41,0.61,0.0,0.61,0.61,0.41,0.0,0.0,0.2,0.0,0.0,,2.04,1.43,0.41,0.61,1.02,0.82,1.22,66.7,0.41,0.41,0.0,0.41,0.2,2.24,0.61,0.0,,46.3,0.41,2.86,11.8,32.4,6.12,46.1,4.49,1.84,40.9,2.65,59.1,25.9,182.0,96.1,4.49,2.04,3.06,1.63,0.2,30.4,8.57,,0.0,0.0,0.0,0.2,0.61,0.2,5.71,0.2,1.43,0.0,0.0,0.0,2.86,0.2,1.63,11.1,444,LOW_MIN,0.900847874369005,100.0,1.007677529412743,100.0,100.0,44.0,26.0,OK
Jáder Durán,aston villa,ST,ST_RUNNER,53,co COL,FW,20.0,2003.0,20,4,638,7.1,0.99,0.0,0.99,0.99,0.0,0.0,0.42,0.14,0.69,0.69,0.03,0.72,0.99,1.83,6.2,0.99,0.0,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,FW,0.99,4.37,2.11,48.4,4.37,2.12,0.23,0.47,15.6,0.0,0.0,0.0,0.69,0.69,0.16,0.3,0.3,,16.2,23.0,70.6,219.4,43.2,9.58,11.8,81.0,4.79,7.04,68.0,0.7,1.55,45.5,0.0,0.03,0.04,-0.03,0.56,1.41,0.14,0.0,1.83,,23.0,21.8,0.99,0.0,0.28,0.0,0.42,0.0,0.0,0.0,0.0,0.0,16.2,0.14,0.56,,2.54,2.54,1.27,0.0,0.0,0.56,0.42,0.28,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.14,,1.13,0.99,0.14,0.28,0.7,0.14,0.56,25.0,0.42,0.7,0.0,0.7,0.0,1.13,1.83,0.0,,37.0,1.83,5.07,15.5,17.2,6.62,37.0,1.97,0.42,21.4,1.27,64.3,18.7,75.4,37.6,0.99,0.99,0.28,2.25,2.11,27.0,6.2,,0.42,0.14,0.0,1.97,2.11,0.7,0.42,0.0,0.99,0.0,0.0,0.0,2.68,2.68,2.68,50.0,638,LOW_MIN,0.9189127060067629,92.6829268292683,0.5373849570380022,100.0,95.69583931133428,41.0,7.0,OK
Zain Silcott-Duberry,bournemouth,ST,ST_FINISHER,77,ms MSR,FW,19.0,2005.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,2.0,50.0,25.0,0.0,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,,0.0,,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,LOW_MIN,-1.4098399152236611,7.317073170731707,-1.218556635366202,10.0,9.329268292682926,41.0,30.0,OK
Remy Rees-Dottin,bournemouth,ST,ST_FINISHER,79,eng ENG,FW,18.0,2006.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,LOW_MIN,-1.4529891441021991,2.4390243902439024,-1.2649305406108569,3.3333333333333335,3.1097560975609757,41.0,30.0,OK
