Player,Squad,Pos,Min,Min_num,low_min_flag,df_post,cb_role,cb_role_proba,cb_role_cluster,p_cb_role_CB_DUEL,p_cb_role_CB_HYBRID,p_cb_role_CB_BUILDER
Gabriel Magalhães,arsenal,DF,2363,2363,False,CB,CB_HYBRID,0.9999999570168249,1,1.6614763669516588e-09,0.9999999570168249,4.132069878294727e-08
Jakub Kiwior,arsenal,DF,1122,1122,False,CB,CB_HYBRID,0.999997257550302,1,2.7424486979947565e-06,0.999997257550302,2.7429683679951116e-17
William Saliba,arsenal,DF,3039,3039,False,CB,CB_HYBRID,0.9999996898368596,1,4.306576824321483e-09,0.9999996898368596,3.058555635450889e-07
Axel Disasi,aston villa,DF,490,490,True,CB,CB_HYBRID,0.8665206150259785,1,0.13347938497302128,0.8665206150259785,1.808254195844315e-29
Diego Carlos,aston villa,DF,830,830,False,CB,CB_HYBRID,0.9999109863939706,1,8.901360502943775e-05,0.9999109863939706,5.720201745240298e-26
Ezri Konsa,aston villa,DF,2936,2936,False,CB,CB_HYBRID,0.9820478236738022,1,0.01795217632519774,0.9820478236738022,1.2531828453742742e-28
Pau Torres,aston villa,DF,2020,2020,False,CB,CB_HYBRID,0.9999999999908789,1,8.118326404433467e-12,0.9999999999908789,2.9107417785900446e-15
Tyrone Mings,aston villa,DF,1120,1120,False,CB,CB_HYBRID,0.9960653013548401,1,0.003934698644159995,0.9960653013548401,5.840729154288829e-18
Dean Huijsen,bournemouth,DF,2427,2427,False,CB,CB_BUILDER,0.9999999733740332,2,4.227613310806571e-16,2.662496641095517e-08,0.9999999733740332
Illia Zabarnyi,bournemouth,DF,3109,3109,False,CB,CB_HYBRID,0.9994528100766336,1,0.0005471889324353326,0.9994528100766336,9.899309916311396e-10
Ben Mee,brentford,DF,183,183,True,CB,CB_HYBRID,0.9968514309883895,1,8.829755861069575e-07,0.9968514309883895,0.0031476860350244957
Ethan Pinnock,brentford,DF,1913,1913,False,CB,CB_DUEL,0.9999978717559317,0,0.9999978717559317,2.1282430683544144e-06,5.355933862623205e-33
Jayden Meghoma,brentford,DF,5,5,True,CB,CB_DUEL,0.9854667243869887,0,0.9854667243869887,0.01453327561201118,8.677130774410953e-82
Kim Jisoo,brentford,DF,30,30,True,CB,CB_HYBRID,0.9999999999989997,1,3.486058924523485e-16,0.9999999999989997,1.088053126662236e-26
Nathan Collins,brentford,DF,3420,3420,False,CB,CB_DUEL,0.9638835665084546,0,0.9638835665084546,0.036116433490545434,1.5052697239275634e-24
Sepp van den Berg,brentford,DF,2586,2586,False,CB,CB_DUEL,0.9990561173780304,0,0.9990561173780304,0.0009438826209696144,2.5626976895288974e-37
Adam Webster,brighton,DF,887,887,False,CB,CB_BUILDER,0.9999992049456052,2,3.620408826138574e-22,7.950533947831898e-07,0.9999992049456052
Igor,brighton,DF,961,961,False,CB,CB_HYBRID,0.9999999975042926,1,2.4947074234543253e-09,0.9999999975042926,1.2749759621405475e-22
Jan Paul van Hecke,brighton,DF,2958,2958,False,CB,CB_BUILDER,0.9999996818727501,2,1.8497676636841808e-30,3.181262499268622e-07,0.9999996818727501
Lewis Dunk,brighton,DF,2083,2083,False,CB,CB_BUILDER,0.9982026833821818,2,1.2920968178566242e-22,0.0017973166168181944,0.9982026833821818
Benoît Badiashile,chelsea,DF,334,334,True,CB,CB_HYBRID,0.9991949660914965,1,1.2602180123925418e-24,0.9991949660914965,0.0008050339075034441
Levi Colwill,chelsea,DF,3149,3149,False,CB,CB_HYBRID,0.9999958377623722,1,4.161475871227897e-06,0.9999958377623722,7.607565365024916e-10
Tosin Adarabioyo,chelsea,DF,1409,1409,False,CB,CB_HYBRID,0.9998551788126006,1,0.0001448211823474709,0.9998551788126006,4.051957282598256e-12
Trevoh Chalobah,chelsea,DF,910,910,False,CB,CB_HYBRID,0.9985529746908927,1,0.001447025307992117,0.9985529746908927,1.1514319029485883e-13
Wesley Fofana,chelsea,DF,1172,1172,False,CB,CB_HYBRID,0.9786268898277667,1,0.021373110171232716,0.9786268898277667,5.594849906867384e-16
