Player,Squad,Pos,Min,Min_num,low_min_flag,df_post,df_post_proba,p_CB,p_FB_WB
Ben White,arsenal,DF,1198,1198,False,FB_WB,0.9999999999989999,4.343100763627759e-24,0.9999999999989999
Gabriel Magalhães,arsenal,DF,2363,2363,False,CB,0.919699446426905,0.919699446426905,0.08030055357213424
Jakub Kiwior,arsenal,DF,1122,1122,False,CB,0.999985235172172,0.999985235172172,1.476482682796689e-05
Jurriën Timber,arsenal,DF,2417,2417,False,FB_WB,0.9999999999989999,7.918515745383583e-24,0.9999999999989999
Myles Lewis-Skelly,arsenal,DF,1369,1369,False,FB_WB,0.9999999999989999,3.237930630385047e-19,0.9999999999989999
Riccardo Calafiori,arsenal,DF,983,983,False,FB_WB,0.9999999999989999,5.255686693287623e-29,0.9999999999989999
Takehiro Tomiyasu,arsenal,DF,7,7,True,FB_WB,0.997361972091087,0.002638027907914862,0.997361972091087
William Saliba,arsenal,DF,3039,3039,False,CB,0.9976776621290114,0.9976776621290114,0.0023223378699901713
Axel Disasi,aston villa,DF,490,490,True,CB,0.7702386449742179,0.7702386449742179,0.22976135502486406
Diego Carlos,aston villa,DF,830,830,True,CB,0.9999999462250222,0.9999999462250222,5.377397768983826e-08
Ezri Konsa,aston villa,DF,2936,2936,False,CB,0.9999837377552601,0.9999837377552601,1.6262243739862475e-05
Ian Maatsen,aston villa,DF,1139,1139,False,FB_WB,0.9999999999989999,9.766557875386883e-138,0.9999999999989999
Kosta Nedeljković,aston villa,DF,126,126,True,FB_WB,0.9999999999987415,2.585466240978918e-13,0.9999999999987415
Lucas Digne,aston villa,DF,2351,2351,False,FB_WB,0.9999999999989999,1.1578258436382996e-195,0.9999999999989999
Matty Cash,aston villa,DF,2070,2070,False,FB_WB,0.9999999999989999,9.850497701186944e-26,0.9999999999989999
Pau Torres,aston villa,DF,2020,2020,False,CB,0.9999999362745486,0.9999999362745486,6.372445124166781e-08
Tyrone Mings,aston villa,DF,1120,1120,False,CB,0.9999999999974739,0.9999999999974739,1.5260667873623473e-12
Adam Smith,bournemouth,DF,1590,1590,False,FB_WB,0.9999999999989999,1.387014118302576e-24,0.9999999999989999
Dean Huijsen,bournemouth,DF,2427,2427,False,CB,0.9999999998036484,0.9999999998036484,1.9535145515283506e-10
Illia Zabarnyi,bournemouth,DF,3109,3109,False,CB,0.9999956128029072,0.9999956128029072,4.3871960927079755e-06
James Hill,bournemouth,DF,448,448,True,FB_WB,0.9999999999989999,3.539137121132902e-24,0.9999999999989999
Julian Araujo,bournemouth,DF,497,497,True,FB_WB,0.9999999999989999,7.405627053029975e-19,0.9999999999989999
Marcos Senesi,bournemouth,DF,1106,1106,False,FB_WB,0.9946357780260331,0.005364221972970544,0.9946357780260331
Max Aarons,bournemouth,DF,86,86,True,FB_WB,0.9999999999989999,4.507426205470709e-32,0.9999999999989999
Milos Kerkez,bournemouth,DF,3336,3336,False,FB_WB,0.9999999999989999,1.8516395293079132e-110,0.9999999999989999
Ben Mee,brentford,DF,183,183,True,CB,0.9999983903347315,0.9999983903347315,1.6096642684311152e-06
Ethan Pinnock,brentford,DF,1913,1913,False,CB,0.9999999999989999,0.9999999999989999,1.388912128621608e-19
Jayden Meghoma,brentford,DF,5,5,True,CB,0.9999320373235089,0.9999320373235089,6.796267549110427e-05
Kim Jisoo,brentford,DF,30,30,True,CB,0.897174745386974,0.897174745386974,0.10282525461207351
Kristoffer Ajer,brentford,DF,1438,1438,False,FB_WB,0.9999998589623981,1.41036601753935e-07,0.9999998589623981
Mads Roerslev,brentford,DF,1101,1101,False,FB_WB,0.9999999999989999,2.0865743280361565e-43,0.9999999999989999
Michael Kayode,brentford,DF,528,528,True,FB_WB,0.9999999999989999,2.9156964061156915e-28,0.9999999999989999
Nathan Collins,brentford,DF,3420,3420,False,CB,0.999999999973876,0.999999999973876,2.5123846333004507e-11
Rico Henry,brentford,DF,99,99,True,FB_WB,0.9999999999989999,1.0903241567466692e-26,0.9999999999989999
Sepp van den Berg,brentford,DF,2586,2586,False,CB,0.9999999885163572,0.9999999885163572,1.1482642644432286e-08
Adam Webster,brighton,DF,887,887,True,CB,0.999999999998813,0.999999999998813,1.870062737001689e-13
Eiran Cashin,brighton,DF,20,20,True,FB_WB,0.9999999999989999,4.652047946021465e-137,0.9999999999989999
Igor,brighton,DF,961,961,False,CB,0.9999997429834145,0.9999997429834145,2.570155852520641e-07
Jan Paul van Hecke,brighton,DF,2958,2958,False,CB,0.9999056132792535,0.9999056132792535,9.438671974646542e-05
Joël Veltman,brighton,DF,1697,1697,False,FB_WB,0.9999999999989999,8.453624125032881e-17,0.9999999999989999
Lewis Dunk,brighton,DF,2083,2083,False,CB,0.999999999800562,0.999999999800562,1.984380119169032e-10
Pervis Estupiñán,brighton,DF,2402,2402,False,FB_WB,0.9999999999989999,1.799209711450651e-141,0.9999999999989999
Tariq Lamptey,brighton,DF,860,860,True,FB_WB,0.9999999999989999,1.1196421376104988e-66,0.9999999999989999
Axel Disasi,chelsea,DF,364,364,True,FB_WB,0.9973486369768149,0.0026513630221870308,0.9973486369768149
Benoît Badiashile,chelsea,DF,334,334,True,CB,0.9999588731611111,0.9999588731611111,4.112683788883666e-05
Joshua Acheampong,chelsea,DF,170,170,True,FB_WB,0.9937778804459412,0.006222119553063077,0.9937778804459412
Levi Colwill,chelsea,DF,3149,3149,False,CB,0.9999999996985283,0.9999999996985283,3.004716574986803e-10
Malo Gusto,chelsea,DF,1862,1862,False,FB_WB,0.9999999999989999,3.032406678609557e-65,0.9999999999989999
Marc Cucurella,chelsea,DF,2988,2988,False,FB_WB,0.9999999999989999,9.918574358927801e-17,0.9999999999989999
Tosin Adarabioyo,chelsea,DF,1409,1409,False,CB,0.9999999999968944,0.9999999999968944,2.1056215141425765e-12
Trevoh Chalobah,chelsea,DF,910,910,False,CB,0.9999626859797655,0.9999626859797655,3.731401923440176e-05
Wesley Fofana,chelsea,DF,1172,1172,False,CB,0.9993720715118978,0.9993720715118978,0.0006279284871026853
Ben Chilwell,crystal palace,DF,259,259,True,FB_WB,0.9999999999989999,1.9068868542687417e-40,0.9999999999989999
Caleb Kporha,crystal palace,DF,13,13,True,FB_WB,0.9999999999989999,0.0,0.9999999999989999
Chadi Riad,crystal palace,DF,90,90,True,CB,0.9546168152076602,0.9546168152076602,0.04538318479136467
Chris Richards,crystal palace,DF,1922,1922,False,CB,0.9999927445288489,0.9999927445288489,7.255470151004763e-06
Daniel Muñoz,crystal palace,DF,3228,3228,False,FB_WB,0.9999999999989999,7.450599605904051e-40,0.9999999999989999
Joachim Andersen,crystal palace,DF,90,90,True,CB,0.9999999999989992,0.9999999999989992,7.324698636874851e-16
Joel Ward,crystal palace,DF,71,71,True,CB,0.992216202383215,0.992216202383215,0.0077837976157904025
Marc Guéhi,crystal palace,DF,3059,3059,False,CB,0.9999999244649213,0.9999999244649213,7.553407868535721e-08
Maxence Lacroix,crystal palace,DF,3116,3116,False,CB,0.9999999999966733,0.9999999999966733,2.3266157433738523e-12
Trevoh Chalobah,crystal palace,DF,1060,1060,False,CB,0.9890892226096393,0.9890892226096393,0.010910777389367753
Tyrick Mitchell,crystal palace,DF,3092,3092,False,FB_WB,0.9999999999989999,4.40407771584713e-63,0.9999999999989999
Ashley Young,everton,DF,1875,1875,False,FB_WB,0.9999999999989999,6.395734435526595e-88,0.9999999999989999
Jake O'Brien,everton,DF,1571,1571,False,FB_WB,0.9986453956097819,0.0013546043892190675,0.9986453956097819
James Tarkowski,everton,DF,2922,2922,False,CB,0.9999999999989468,0.9999999999989468,5.3021680046509704e-14
Jarrad Branthwaite,everton,DF,2511,2511,False,CB,0.9999999944427644,0.9999999944427644,5.556235379321346e-09
