Player,Squad,df_post,cb_role,fb_role,Rk,Nation,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Unnamed: 38,Gls.2,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK.1,PKatt.1,xG.2,npxG.2,npxG/Sh,G-xG,np:G-xG,Unnamed: 56,Pass_Cmp,Pass_Att,Pass_Cmp%,TotDist,PrgDist,Pass_Short_Cmp,Pass_Short_Att,Pass_Short_Cmp%,Pass_Med_Cmp,Pass_Med_Att,Pass_Med_Cmp%,Pass_Long_Cmp,Pass_Long_Att,Pass_Long_Cmp%,Ast.2,xAG.2,xA,A-xAG,KP,FinalThird_Pass,PPA,CrsPA,PrgP.1,Unnamed: 80,PassType_Att,Pass_Live,Pass_Dead,Pass_FK,Pass_TB,Pass_Switch,Pass_Cross,Pass_TI,Pass_CK,Corner_In,Corner_Out,Corner_Straight,Pass_Cmp.1,Pass_Offside,Pass_Blocked,Unnamed: 96,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Shot,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Shot,GCA_Fld,GCA_Def,Unnamed: 113,Tackles,Tackles_Won,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackled_%,Challenges_Lost,Blocks_Total,Shots_Blocked,Passes_Blocked,Interceptions,Tackles_Interceptions,Clearances,Errors_LeadingShot,Unnamed: 130,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,TakeOn_Att,TakeOn_Succ,TakeOn_Succ%,TakeOn_Tackled,TakeOn_Tackled%,Carries,Carry_TotDist,Carry_PrgDist,PrgC.1,Carry_FinalThird,Carry_PenArea,Miscontrols,Dispossessed,Rec,PrgR.1,Unnamed: 153,CrdY.1,CrdR.1,2CrdY,Fls,Fld,Offsides,Crs,Interceptions.1,Tackles_Won.1,PKwon,PKcon,OG,Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won%,Min_num,minutes_flag,df_post_score_raw,df_post_rating_0100,df_role_score_raw,df_role_rating_0100,df_role_rating_shrunk_0100,n_post,n_role,role_sample_flag
Jakub Kiwior,arsenal,CB,CB_HYBRID,,8,pl POL,DF,24.0,2000.0,17,10,1122,12.5,0.08,0.0,0.08,0.08,0.0,0.0,0.08,0.0,0.02,0.02,0.02,0.04,0.4,3.84,0.08,0.08,0.0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,DF,0.08,0.24,0.08,33.3,0.24,0.08,0.33,1.0,18.5,0.0,0.0,0.0,0.02,0.02,0.06,0.06,0.06,,53.8,58.9,91.4,927.8,271.4,22.2,23.5,94.6,28.6,30.1,95.2,2.4,4.24,56.6,0.0,0.02,0.02,-0.02,0.4,5.2,0.24,0.0,3.84,,58.9,56.3,2.48,0.8,0.24,0.08,0.16,0.32,0.0,0.0,0.0,0.0,53.8,0.08,0.08,,0.64,0.64,0.56,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.76,0.64,1.04,0.56,0.16,0.88,1.2,73.3,0.32,1.04,0.64,0.4,0.48,2.24,4.64,0.24,,67.7,8.0,22.5,39.5,5.76,0.4,67.7,0.4,0.24,60.0,0.16,40.0,39.4,159.0,83.0,0.4,0.56,0.08,0.24,0.16,49.2,0.08,,0.08,0.0,0.0,0.8,0.32,0.08,0.16,0.48,0.64,0.0,0.0,0.0,2.48,0.88,1.04,45.8,1122,OK,0.22659774442271008,61.224489795918366,-0.26293079791666124,27.77777777777778,35.04880212954747,98.0,36.0,OK
Ben White,arsenal,FB_WB,,FB_INVERTED,2,eng ENG,DF,26.0,1997.0,17,13,1198,13.3,0.0,0.15,0.15,0.0,0.0,0.0,0.15,0.0,0.04,0.04,0.11,0.14,1.73,4.44,3.16,0.0,0.15,0.15,0.0,0.15,0.03,0.1,0.14,0.03,0.14,DF,0.0,0.68,0.15,22.2,0.68,0.15,0.0,0.0,19.4,0.0,0.0,0.0,0.04,0.04,0.05,-0.04,-0.04,,43.6,52.0,83.8,689.7,225.4,23.2,25.3,91.7,17.6,20.8,84.8,1.8,3.76,48.0,0.15,0.11,0.11,0.05,0.75,4.14,0.83,0.15,4.44,,52.0,43.8,8.05,1.5,0.08,0.53,1.28,6.24,0.0,0.0,0.0,0.0,43.6,0.15,0.53,,1.73,1.73,1.65,0.08,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,,1.5,1.05,0.75,0.3,0.45,1.2,2.86,42.1,1.65,0.75,0.6,0.15,1.2,2.71,3.31,0.0,,61.1,4.14,16.1,27.6,17.9,2.11,61.1,0.45,0.0,0.0,0.38,83.3,29.6,121.6,71.7,1.73,1.2,0.3,0.75,0.45,37.1,3.16,,0.15,0.0,0.0,0.75,0.38,0.08,1.28,1.2,1.05,0.0,0.0,0.0,2.78,1.35,0.68,66.7,1198,OK,-0.10967815417319908,52.27272727272727,-0.3480957124605602,29.03225806451613,34.70066518847007,88.0,31.0,OK
Myles Lewis-Skelly,arsenal,FB_WB,,FB_INVERTED,7,eng ENG,DF,17.0,2006.0,23,15,1369,15.2,0.07,0.0,0.07,0.07,0.0,0.0,0.2,0.13,0.01,0.01,0.03,0.04,2.43,4.67,2.43,0.07,0.0,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04,DF,0.07,0.2,0.07,33.3,0.2,0.07,0.33,1.0,14.7,0.0,0.0,0.0,0.01,0.01,0.05,0.05,0.05,,46.6,51.1,91.2,692.4,151.8,25.9,27.0,96.1,19.1,20.9,91.8,0.92,1.58,58.3,0.0,0.03,0.03,-0.03,0.53,4.34,0.66,0.13,4.67,,51.1,43.4,7.3,1.12,0.2,0.13,0.66,6.18,0.0,0.0,0.0,0.0,46.6,0.33,0.13,,1.91,1.91,1.38,0.0,0.07,0.07,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.45,0.92,0.66,0.59,0.2,0.66,0.72,90.9,0.07,0.26,0.07,0.2,0.46,1.91,1.78,0.0,,59.5,1.84,11.7,31.3,17.4,1.12,59.5,1.84,0.79,42.9,0.59,32.1,34.6,177.1,109.4,2.43,1.71,0.46,0.86,0.59,40.5,2.43,,0.2,0.13,0.0,0.72,3.09,0.0,0.66,0.46,0.92,0.0,0.07,0.0,3.49,0.72,0.66,52.4,1369,OK,-0.12050179086654594,51.13636363636363,-0.3926317763990121,22.58064516129032,29.54545454545454,88.0,31.0,OK
Gabriel Magalhães,arsenal,CB,CB_HYBRID,,6,br BRA,DF,26.0,1997.0,28,28,2363,26.3,0.11,0.04,0.15,0.11,0.0,0.0,0.15,0.0,0.1,0.1,0.03,0.13,0.38,4.79,0.42,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,DF,0.11,0.84,0.19,22.7,0.84,0.19,0.14,0.6,9.5,0.0,0.0,0.0,0.1,0.1,0.12,0.02,0.02,,56.3,62.4,90.2,980.5,301.8,22.7,23.5,96.9,29.7,31.6,94.2,3.16,5.86,53.9,0.04,0.03,0.05,0.0,0.49,5.51,0.3,0.0,4.79,,62.4,59.3,3.04,1.94,0.04,0.3,0.34,0.11,0.0,0.0,0.0,0.0,56.3,0.04,0.3,,1.33,1.33,1.18,0.0,0.0,0.11,0.04,0.0,0.23,0.23,0.15,0.0,0.0,0.04,0.04,0.0,,0.95,0.57,0.46,0.3,0.19,0.46,0.61,75.0,0.15,1.6,1.1,0.49,0.61,1.56,3.54,0.08,,71.2,7.19,25.6,37.5,8.56,1.52,71.2,0.19,0.15,80.0,0.04,20.0,42.4,170.0,101.5,0.38,0.84,0.0,0.34,0.08,51.9,0.42,,0.15,0.0,0.0,0.72,0.72,0.0,0.34,0.61,0.57,0.04,0.0,0.0,2.4,2.02,1.41,58.9,2363,OK,0.4837469955222602,75.51020408163265,0.053500079311606726,58.333333333333336,62.067435669920144,98.0,36.0,OK
Jurriën Timber,arsenal,FB_WB,,FB_INVERTED,4,nl NED,DF,23.0,2001.0,30,27,2417,26.9,0.04,0.11,0.15,0.04,0.0,0.0,0.26,0.0,0.04,0.04,0.03,0.08,2.12,5.43,3.87,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,DF,0.04,0.52,0.15,28.6,0.52,0.15,0.07,0.25,14.1,0.0,0.0,0.0,0.04,0.04,0.09,-0.01,-0.01,,44.4,51.9,85.6,644.1,172.6,25.1,27.5,91.0,17.5,20.4,86.0,1.0,1.9,52.9,0.11,0.03,0.05,0.08,0.63,3.98,0.63,0.07,5.43,,51.9,44.2,7.58,0.82,0.07,0.04,1.04,6.77,0.0,0.0,0.0,0.0,44.4,0.11,0.93,,1.93,1.94,1.71,0.04,0.11,0.0,0.04,0.04,0.33,0.34,0.3,0.0,0.04,0.0,0.0,0.0,,2.16,1.41,0.63,1.12,0.41,0.67,1.0,66.7,0.33,0.71,0.15,0.56,0.82,2.97,1.64,0.04,,61.7,1.9,11.3,31.9,18.8,2.45,61.7,1.97,0.89,45.3,0.89,45.3,33.1,145.6,77.2,2.12,1.0,0.41,1.23,0.89,39.1,3.87,,0.26,0.0,0.0,1.15,1.08,0.22,1.04,0.82,1.41,0.0,0.0,0.0,3.49,0.82,0.74,52.4,2417,OK,-0.15603018498434199,47.72727272727273,-0.40657588144294327,19.35483870967742,26.274944567627493,88.0,31.0,OK
William Saliba,arsenal,CB,CB_HYBRID,,5,fr FRA,DF,23.0,2001.0,35,35,3039,33.8,0.06,0.0,0.06,0.06,0.0,0.0,0.06,0.03,0.07,0.07,0.03,0.09,0.47,4.08,0.18,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09,DF,0.06,0.18,0.06,33.3,0.18,0.06,0.33,1.0,5.4,0.0,0.0,0.0,0.07,0.07,0.38,-0.01,-0.01,,71.4,75.7,94.3,1226.6,371.0,30.4,31.7,95.8,37.1,38.6,96.1,3.64,4.56,79.9,0.0,0.03,0.04,-0.03,0.21,5.33,0.18,0.0,4.08,,75.7,74.2,1.36,1.07,0.03,0.3,0.09,0.12,0.0,0.0,0.0,0.0,71.4,0.15,0.12,,0.8,0.8,0.74,0.0,0.0,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,,1.83,1.09,1.09,0.68,0.06,0.62,0.83,75.0,0.21,0.74,0.44,0.3,0.62,2.46,3.52,0.21,,83.6,5.62,33.3,46.5,4.2,0.53,83.6,0.56,0.36,63.2,0.18,31.6,52.0,225.6,122.9,0.47,0.5,0.03,0.56,0.24,63.2,0.18,,0.06,0.03,0.0,0.83,0.5,0.03,0.09,0.62,1.09,0.0,0.03,0.0,4.56,1.8,1.07,62.9,3039,OK,0.7179945184129869,85.71428571428571,0.48016672967740903,86.11111111111111,86.0248447204969,98.0,36.0,OK
Takehiro Tomiyasu,arsenal,FB_WB,,FB_WIDE,3,jp JPN,DF,25.0,1998.0,1,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,DF,0.0,10.0,0.0,0.0,12.86,0.0,0.0,,1.2,0.0,0.0,0.0,2.0,2.0,0.18,-2.0,-2.0,,30.0,40.0,75.0,420.0,100.0,10.0,10.0,100.0,20.0,20.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,,10.0,12.86,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,70.0,10.0,40.0,10.0,20.0,10.0,70.0,0.0,0.0,,0.0,,10.0,70.0,50.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7,LOW_MIN,-0.3573173096076626,26.136363636363637,-0.6672572435072774,4.761904761904762,11.656891495601172,88.0,21.0,OK
Riccardo Calafiori,arsenal,FB_WB,,FB_INVERTED,9,it ITA,DF,22.0,2002.0,19,11,983,10.9,0.18,0.09,0.28,0.18,0.0,0.0,0.37,0.0,0.08,0.08,0.03,0.1,2.02,4.95,2.66,0.18,0.09,0.27,0.18,0.27,0.08,0.03,0.11,0.08,0.11,DF,0.18,0.92,0.55,60.0,0.92,0.55,0.2,0.33,14.1,0.0,0.0,0.0,0.08,0.08,0.09,0.1,0.1,,43.1,50.4,85.6,633.3,156.4,25.7,28.1,91.5,15.0,17.2,86.7,1.74,2.57,67.9,0.09,0.03,0.06,0.06,0.55,3.76,0.83,0.09,4.95,,50.4,44.3,5.96,0.64,0.0,0.18,1.01,5.32,0.0,0.0,0.0,0.0,43.1,0.09,1.01,,1.19,1.19,1.01,0.0,0.09,0.09,0.0,0.0,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,,2.48,1.74,1.38,0.92,0.18,1.65,2.66,62.1,1.01,1.1,0.55,0.55,0.83,3.3,2.29,0.0,,59.9,2.75,15.0,24.2,21.0,2.75,59.9,1.19,0.83,69.2,0.28,23.1,28.3,151.8,81.6,2.02,1.38,0.28,1.1,0.46,36.1,2.66,,0.37,0.0,0.0,1.47,0.55,0.28,1.01,0.83,1.74,0.0,0.0,0.0,3.21,2.02,1.28,61.1,983,OK,-0.15118054574107384,48.86363636363637,-0.4206902817244499,16.129032258064516,24.11308203991131,88.0,31.0,OK
Tyrone Mings,aston villa,CB,CB_HYBRID,,30,eng ENG,DF,31.0,1993.0,14,12,1120,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.06,0.06,0.02,0.08,0.56,3.23,0.08,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.08,0.07,0.08,DF,0.0,0.73,0.08,11.1,0.72,0.08,0.0,0.0,11.8,0.0,0.0,0.0,0.06,0.06,0.09,-0.06,-0.06,,48.1,54.5,88.2,858.2,271.3,18.9,20.6,91.4,26.0,27.6,94.4,2.74,5.16,53.1,0.0,0.02,0.02,-0.02,0.24,3.87,0.4,0.0,3.23,,54.5,50.8,3.71,1.61,0.0,0.24,0.08,0.0,0.0,0.0,0.0,0.0,48.1,0.0,0.56,,1.45,1.45,1.21,0.0,0.0,0.08,0.08,0.08,0.16,0.16,0.08,0.0,0.0,0.08,0.0,0.0,,0.56,0.48,0.48,0.08,0.0,0.16,0.16,100.0,0.0,1.05,0.89,0.16,0.56,1.13,4.92,0.08,,64.0,11.8,32.7,27.9,3.79,1.37,64.0,0.24,0.16,66.7,0.08,33.3,39.0,214.7,110.1,0.56,1.05,0.08,0.24,0.08,42.9,0.08,,0.08,0.0,0.0,0.32,0.89,0.0,0.08,0.56,0.48,0.0,0.0,0.0,3.06,2.18,1.77,55.1,1120,OK,0.10640587604324835,57.14285714285714,-0.4748238119994473,13.88888888888889,23.291925465838506,98.0,36.0,OK
Ian Maatsen,aston villa,FB_WB,,FB_WIDE,31,nl NED,DF,22.0,2002.0,29,10,1139,12.7,0.08,0.16,0.24,0.08,0.0,0.0,0.16,0.0,0.07,0.07,0.21,0.28,2.44,3.94,8.19,0.08,0.16,0.24,0.08,0.24,0.07,0.22,0.28,0.07,0.28,DF,0.08,1.5,0.39,26.3,1.5,0.4,0.05,0.2,22.1,0.0,0.0,0.0,0.07,0.07,0.05,0.01,0.01,,48.0,58.8,81.5,758.7,196.2,24.2,27.2,88.7,20.7,24.3,85.1,2.05,4.09,50.0,0.16,0.21,0.19,-0.06,1.5,1.73,1.5,0.24,3.94,,58.8,50.9,7.95,1.26,0.08,0.16,4.02,6.3,0.39,0.16,0.0,0.0,48.0,0.0,1.97,,4.09,4.11,2.99,0.24,0.39,0.39,0.0,0.08,0.55,0.55,0.47,0.0,0.08,0.0,0.0,0.0,,2.28,1.34,1.34,0.71,0.24,1.34,1.89,70.8,0.55,1.02,0.0,1.02,1.18,3.46,3.07,0.24,,72.2,4.41,19.4,26.3,27.4,3.7,72.2,2.28,1.02,44.8,1.26,55.2,39.8,207.6,93.2,2.44,1.34,1.02,1.73,1.97,44.4,8.19,,0.16,0.0,0.0,0.87,0.71,0.24,4.02,1.18,1.34,0.0,0.08,0.0,5.28,0.79,0.47,62.5,1139,OK,0.34782649864387016,79.54545454545455,-0.08283827332779421,57.14285714285714,64.36950146627566,88.0,21.0,OK
