Player,Squad,Pos,Min,Min_num,low_min_flag,df_post,fb_role,fb_role_proba,fb_role_cluster,p_fb_role_FB_WIDE,p_fb_role_FB_INVERTED,p_fb_role_FB_STAY_HOME
Ben White,arsenal,DF,1198,1198,False,FB_WB,FB_INVERTED,0.9999864835346526,1,1.3516448655189395e-05,0.9999864835346526,1.56922713866431e-11
Jurriën Timber,arsenal,DF,2417,2417,False,FB_WB,FB_INVERTED,0.9999541940479926,1,3.700716400869383e-05,0.9999541940479926,8.798786998807365e-06
Myles Lewis-Skelly,arsenal,DF,1369,1369,False,FB_WB,FB_INVERTED,0.9999756203512548,1,1.3696223264580691e-05,0.9999756203512548,1.0683424480761499e-05
Riccardo Calafiori,arsenal,DF,983,983,False,FB_WB,FB_INVERTED,0.9955193662731436,1,0.0006089751544547068,0.9955193662731436,0.003871658571401646
Takehiro Tomiyasu,arsenal,DF,7,7,True,FB_WB,FB_WIDE,0.999999999999,3,0.999999999999,5.0290910934889894e-133,1.086149794865443e-57
Ian Maatsen,aston villa,DF,1139,1139,False,FB_WB,FB_WIDE,0.9999999905352909,3,0.9999999905352909,8.673311005007176e-16,9.463708275808085e-09
Kosta Nedeljković,aston villa,DF,126,126,True,FB_WB,FB_STAY_HOME,0.9611552826493719,0,3.5558855486073415e-07,0.038844361761073296,0.9611552826493719
Lucas Digne,aston villa,DF,2351,2351,False,FB_WB,FB_WIDE,0.9999963047907146,3,0.9999963047907146,2.083750066380945e-15,3.695208283368018e-06
Matty Cash,aston villa,DF,2070,2070,False,FB_WB,FB_STAY_HOME,0.9995300788897037,0,4.664184669574943e-07,0.00046945469082942,0.9995300788897037
Adam Smith,bournemouth,DF,1590,1590,False,FB_WB,FB_STAY_HOME,0.9994514504647941,0,3.3334145171503437e-07,0.0005482161927542343,0.9994514504647941
James Hill,bournemouth,DF,448,448,True,FB_WB,FB_INVERTED,0.861043557061978,1,0.0050528545155157445,0.861043557061978,0.13390358842150624
Julian Araujo,bournemouth,DF,497,497,True,FB_WB,FB_STAY_HOME,0.9998572680252368,0,2.203412132104054e-08,0.00014270993964175926,0.9998572680252368
Marcos Senesi,bournemouth,DF,1106,1106,False,FB_WB,FB_INVERTED,0.999999963124442,1,3.687249802512194e-08,0.999999963124442,2.060015906396218e-12
Max Aarons,bournemouth,DF,86,86,True,FB_WB,FB_INVERTED,0.9999945320323618,1,5.467966638210668e-06,0.9999945320323618,1.0333306898477292e-29
Milos Kerkez,bournemouth,DF,3336,3336,False,FB_WB,FB_WIDE,0.996197525779614,3,0.996197525779614,8.580194737372404e-10,0.003802473361366548
Kristoffer Ajer,brentford,DF,1438,1438,False,FB_WB,FB_STAY_HOME,0.9878172068065697,0,1.855133733081707e-07,0.012182607679056864,0.9878172068065697
Mads Roerslev,brentford,DF,1101,1101,False,FB_WB,FB_STAY_HOME,0.9995444597527833,0,6.181029465069622e-05,0.00039372995156598475,0.9995444597527833
Michael Kayode,brentford,DF,528,528,True,FB_WB,FB_STAY_HOME,0.9999602692333444,0,3.900983417145433e-05,7.209314842419069e-07,0.9999602692333444
Rico Henry,brentford,DF,99,99,True,FB_WB,FB_STAY_HOME,0.8633572465020811,0,9.208624439869324e-08,0.13664266141067455,0.8633572465020811
Eiran Cashin,brighton,DF,20,20,True,FB_WB,FB_WIDE,0.999999999999,3,0.999999999999,7.177126522534754e-33,0.0
Joël Veltman,brighton,DF,1697,1697,False,FB_WB,FB_INVERTED,0.772121732791333,1,3.4589045381284366e-05,0.772121732791333,0.22784367816228557
Pervis Estupiñán,brighton,DF,2402,2402,False,FB_WB,FB_WIDE,0.9999999987746984,3,0.9999999987746984,9.077429037440785e-10,3.1655877597581557e-10
Tariq Lamptey,brighton,DF,860,860,False,FB_WB,FB_STAY_HOME,0.9999443688295946,0,4.877283126032581e-05,6.858338145097226e-06,0.9999443688295946
Axel Disasi,chelsea,DF,364,364,True,FB_WB,FB_INVERTED,0.9999999754009756,1,2.459791176772624e-08,0.9999999754009756,1.1258768665819453e-13
Joshua Acheampong,chelsea,DF,170,170,True,FB_WB,FB_INVERTED,0.999999993870167,1,5.006416923590894e-09,0.999999993870167,1.12241599504072e-09
Malo Gusto,chelsea,DF,1862,1862,False,FB_WB,FB_WIDE,0.9971347111712646,3,0.9971347111712646,0.0028652888226445845,5.09086953011496e-12
Marc Cucurella,chelsea,DF,2988,2988,False,FB_WB,FB_INVERTED,0.8972111619288214,1,6.998948392037117e-06,0.8972111619288214,0.10278183912178644
Ben Chilwell,crystal palace,DF,259,259,True,FB_WB,FB_STAY_HOME,0.9985419297610287,0,0.0014259668715784707,3.2103366392758304e-05,0.9985419297610287
Caleb Kporha,crystal palace,DF,13,13,True,FB_WB,FB_WIDE,0.999999999999,3,0.999999999999,0.0,0.0
Daniel Muñoz,crystal palace,DF,3228,3228,False,FB_WB,FB_STAY_HOME,0.9987419351309611,0,0.001253126248314635,4.938619724252074e-06,0.9987419351309611
Tyrick Mitchell,crystal palace,DF,3092,3092,False,FB_WB,FB_STAY_HOME,0.9972548295908494,0,0.002744560968573745,6.094395768663376e-07,0.9972548295908494
Ashley Young,everton,DF,1875,1875,False,FB_WB,FB_WIDE,0.9900431454889681,3,0.9900431454889681,3.849064526006026e-08,0.00995681601938662
Jake O'Brien,everton,DF,1571,1571,False,FB_WB,FB_STAY_HOME,0.9990220676046352,0,4.82733249331208e-10,0.0009779319116314837,0.9990220676046352
Nathan Patterson,everton,DF,347,347,True,FB_WB,FB_WIDE,0.7844348740639869,3,0.7844348740639869,2.1206813160171308e-11,0.2155651259138062
Séamus Coleman,everton,DF,215,215,True,FB_WB,FB_STAY_HOME,0.9062379127614881,0,6.059005398003658e-07,0.09376148133697206,0.9062379127614881
Vitaliy Mykolenko,everton,DF,3082,3082,False,FB_WB,FB_STAY_HOME,0.9991832003157063,0,0.0008167940424407244,5.640852916154454e-09,0.9991832003157063
Antonee Robinson,fulham,DF,3167,3167,False,FB_WB,FB_WIDE,0.9999995923194518,3,0.9999995923194518,8.062248028385505e-16,4.0767954741941006e-07
Kenny Tete,fulham,DF,1774,1774,False,FB_WB,FB_STAY_HOME,0.9989927660281642,0,3.0938972668316734e-05,0.0009762949981673569,0.9989927660281642
Timothy Castagne,fulham,DF,1649,1649,False,FB_WB,FB_STAY_HOME,0.9975804146763794,0,6.876601009003693e-08,0.00241951655661053,0.9975804146763794
Axel Tuanzebe,ipswich town,DF,1710,1710,False,FB_WB,FB_STAY_HOME,0.9138279118607517,0,1.780076833319578e-09,0.08617208635817132,0.9138279118607517
Ben Godfrey,ipswich town,DF,159,159,True,FB_WB,FB_STAY_HOME,0.9531880784619979,0,1.3376332920410029e-08,0.04681190816066921,0.9531880784619979
Conor Townsend,ipswich town,DF,335,335,True,FB_WB,FB_STAY_HOME,0.9937616665607323,0,7.927559751291853e-08,0.006238254162670068,0.9937616665607323
Harry Clarke,ipswich town,DF,379,379,True,FB_WB,FB_INVERTED,0.965628290705412,1,1.8530871019606326e-06,0.965628290705412,0.03436985620648606
Leif Davis,ipswich town,DF,2743,2743,False,FB_WB,FB_WIDE,0.9999752785961619,3,0.9999752785961619,5.4787477805533814e-12,2.472139735937766e-05
James Justin,leicester city,DF,2912,2912,False,FB_WB,FB_STAY_HOME,0.9996804543169822,0,7.494308940356553e-08,0.00031947073892840065,0.9996804543169822
Luke Thomas,leicester city,DF,1110,1110,False,FB_WB,FB_STAY_HOME,0.9934069396137679,0,4.0578410886710005e-07,0.006592654601123156,0.9934069396137679
Ricardo Pereira,leicester city,DF,388,388,True,FB_WB,FB_INVERTED,0.9999998500008023,1,6.436573338633294e-08,0.9999998500008023,8.563246429488024e-08
Victor Bernth Kristiansen,leicester city,DF,2482,2482,False,FB_WB,FB_STAY_HOME,0.9998103792887999,0,0.00018960130882048233,1.9401379500438855e-08,0.9998103792887999
Woyo Coulibaly,leicester city,DF,109,109,True,FB_WB,FB_STAY_HOME,0.9349913862215676,0,1.177105813502918e-09,0.06500861260032652,0.9349913862215676
Andrew Robertson,liverpool,DF,2482,2482,False,FB_WB,FB_WIDE,0.9999999999985585,3,0.9999999999985585,4.414903256602945e-13,6.043182809134149e-19
Conor Bradley,liverpool,DF,754,754,False,FB_WB,FB_INVERTED,0.9999932422452381,1,6.529159231757952e-06,0.9999932422452381,2.2859453019019824e-07
Kostas Tsimikas,liverpool,DF,837,837,False,FB_WB,FB_WIDE,0.999999999999,3,0.999999999999,2.793323783663168e-19,1.3876683540859056e-27
Trent Alexander-Arnold,liverpool,DF,2365,2365,False,FB_WB,FB_INVERTED,0.999999999999,2,1.7398573257429622e-34,0.999999999999,1.455384467193863e-129
Joško Gvardiol,manchester city,DF,3277,3277,False,FB_WB,FB_INVERTED,0.9999934219963695,1,6.578002630511181e-06,0.9999934219963695,3.598437878180015e-30
Kyle Walker,manchester city,DF,970,970,False,FB_WB,FB_INVERTED,0.999999325763047,1,6.742359530699722e-07,0.999999325763047,4.173007064867428e-33
Manuel Akanji,manchester city,DF,2014,2014,False,FB_WB,FB_INVERTED,0.9999999997827613,1,2.162387296523308e-10,0.9999999997827613,8.836545237105993e-38
Nathan Aké,manchester city,DF,678,678,True,FB_WB,FB_INVERTED,0.9999999999986682,1,3.318006885058199e-13,0.9999999999986682,3.8334565148632983e-22
Nico O’Reilly,manchester city,DF,528,528,True,FB_WB,FB_INVERTED,0.9999866452248343,1,1.3352678342423169e-05,0.9999866452248343,2.0958232639685867e-09
Rúben Dias,manchester city,DF,2271,2271,False,FB_WB,FB_INVERTED,0.999999999999,1,5.513784393326465e-20,0.999999999999,1.0303144188163291e-55
Diogo Dalot,manchester utd,DF,2814,2814,False,FB_WB,FB_STAY_HOME,0.9785214424852492,0,0.01544164754544701,0.006036909968303849,0.9785214424852492
Harry Amass,manchester utd,DF,346,346,True,FB_WB,FB_STAY_HOME,0.9910224962342044,0,0.0018369895908446187,0.0071405141739511405,0.9910224962342044
Luke Shaw,manchester utd,DF,349,349,True,FB_WB,FB_INVERTED,0.9999688768721101,1,3.112312672769008e-05,0.9999688768721101,1.622584598433636e-13
Noussair Mazraoui,manchester utd,DF,2838,2838,False,FB_WB,FB_INVERTED,0.9884019001895838,1,9.031172266796722e-07,0.9884019001895838,0.011597196692189511
Patrick Dorgu,manchester utd,DF,842,842,False,FB_WB,FB_WIDE,0.9999165858196268,3,0.9999165858196268,1.7813350092767098e-06,8.163284436391506e-05
