Player,Squad,Pos,Min,Min_num,low_min_flag,mf_post,mf_role,mf_role_proba,mf_role_cluster,p_mf_role_AM_ORGANIZER,p_mf_role_AM_CLASSIC_10
Martin Ødegaard,arsenal,MF,2325,2325,False,AM,AM_CLASSIC_10,0.999999999999,2,5.721380100642054e-253,0.999999999999
Marco Asensio,aston villa,MF,743,743,False,AM,AM_CLASSIC_10,0.999999999999,0,2.9682984136716764e-200,0.999999999999
Justin Kluivert,bournemouth,MF,2340,2340,False,AM,AM_CLASSIC_10,0.999999999999,0,0.0,0.999999999999
Philip Billing,bournemouth,MF,184,184,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Billy Gilmour,brighton,MF,98,98,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Jakub Moder,brighton,MF,11,11,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Jeremy Sarmiento,brighton,MF,9,9,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Matt O'Riley,brighton,MF,938,938,False,AM,AM_CLASSIC_10,0.999999999999,0,7.454476305744863e-143,0.999999999999
Enzo Fernández,chelsea,MF,2947,2947,False,AM,AM_ORGANIZER,0.999999999999,3,0.999999999999,3.6679178097428936e-18
Mathis Amougou,chelsea,MF,8,8,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Shumaira Mheuka,chelsea,MF,1,1,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Asher Agbinone,crystal palace,MF,6,6,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Romain Esse,crystal palace,MF,138,138,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Harrison Armstrong,everton,MF,48,48,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Andreas Pereira,fulham,MF,2013,2013,False,AM,AM_CLASSIC_10,0.999999999999,0,2.627992772387932e-125,0.999999999999
Jay Stansfield,fulham,MF,1,1,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Joshua King,fulham,MF,130,130,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Marcus Harness,ipswich town,MF,45,45,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Michael Golding,leicester city,MF,1,1,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Dominik Szoboszlai,liverpool,MF,2491,2491,False,AM,AM_CLASSIC_10,0.999999999999,0,1.0507175858273171e-52,0.999999999999
Harvey Elliott,liverpool,MF,371,371,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Jayden Danns,liverpool,MF,11,11,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Bruno Fernandes,manchester utd,MF,3018,3018,False,AM,AM_ORGANIZER,0.999999999999,4,0.999999999999,2.759616965135547e-72
Christian Eriksen,manchester utd,MF,1061,1061,False,AM,AM_ORGANIZER,0.999999999999,3,0.999999999999,6.08781264529438e-24
Mason Mount,manchester utd,MF,622,622,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Scott McTominay,manchester utd,MF,19,19,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Carlos Alcaraz,southampton,MF,10,10,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
James Maddison,tottenham,MF,1809,1809,False,AM,AM_ORGANIZER,0.999999999999,1,0.999999999999,1.8539253506503834e-43
Lewis Orford,west ham,MF,49,49,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Boubacar Traoré,wolves,MF,1,1,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Chiquinho,wolves,MF,7,7,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
Mateus Mane,wolves,MF,2,2,True,AM,AM_CLASSIC_10,0.9099999999990136,0,0.08999999999998651,0.9099999999990136
