Player,Squad,Pos,Min,Min_num,low_min_flag,mf_post,cm_role,cm_role_proba,cm_role_cluster,p_cm_role_CM_PROGRESSOR,p_cm_role_CM_BOX_TO_BOX
Declan Rice,arsenal,MF,2825,2825,False,CM,CM_BOX_TO_BOX,0.999999999999,0,4.034730963643464e-225,0.999999999999
Youri Tielemans,aston villa,MF,3026,3026,False,CM,CM_PROGRESSOR,0.999999999999,1,0.999999999999,1.2981900013305049e-23
Mathias Jensen,brentford,MF,862,862,False,CM,CM_BOX_TO_BOX,0.999999999999,0,5.859919199906007e-128,0.999999999999
Diego Gómez,brighton,MF,516,516,True,CM,CM_BOX_TO_BOX,0.999999999999,0,0.0,0.999999999999
James Milner,brighton,MF,170,170,True,CM,CM_BOX_TO_BOX,0.999999999999,0,0.0,0.999999999999
Emile Smith Rowe,fulham,MF,2043,2043,False,CM,CM_BOX_TO_BOX,0.999999999999,2,0.0,0.999999999999
Harrison Reed,fulham,MF,108,108,True,CM,CM_BOX_TO_BOX,0.999999999999,0,0.0,0.999999999999
Tom Cairney,fulham,MF,628,628,True,CM,CM_BOX_TO_BOX,0.999999999999,0,0.0,0.999999999999
Alexis Mac Allister,liverpool,MF,2599,2599,False,CM,CM_BOX_TO_BOX,0.999999999999,0,1.5915455834543158e-110,0.999999999999
Mateo Kovačić,manchester city,MF,2198,2198,False,CM,CM_PROGRESSOR,0.999999999999,3,0.999999999999,1.6706654459483756e-73
Rodri,manchester city,MF,73,73,True,CM,CM_BOX_TO_BOX,0.999999999999,0,0.0,0.999999999999
İlkay Gündoğan,manchester city,MF,2223,2223,False,CM,CM_BOX_TO_BOX,0.999999999999,0,0.0,0.999999999999
Bruno Guimarães,newcastle utd,MF,3271,3271,False,CM,CM_BOX_TO_BOX,0.999999999999,0,8.857455315940609e-113,0.999999999999
Morgan Gibbs-White,nott'ham forest,MF,2803,2803,False,CM,CM_BOX_TO_BOX,0.999999999999,0,1.920607423072e-186,0.999999999999
William Smallbone,southampton,MF,690,690,True,CM,CM_BOX_TO_BOX,0.999999999999,0,0.0,0.999999999999
James Ward-Prowse,west ham,MF,1039,1039,False,CM,CM_PROGRESSOR,0.999999999999,1,0.999999999999,1.7569612267182717e-26
Tommy Doyle,wolves,MF,488,488,True,CM,CM_BOX_TO_BOX,0.999999999999,0,4.1830420877953934e-240,0.999999999999
