Player,Squad,Pos,Min,Min_num,low_min_flag,mf_post,mf_post_proba,mf_post_stage1,mf_post_stage1_proba,p_DM,p_NON_DM,mf_post_stage2,mf_post_stage2_proba,p_CM,p_AM
Declan Rice,arsenal,MF,2825,2825,False,CM,0.9990191378612765,NON_DM,0.9999999577968409,4.220215905533023e-08,0.9999999577968409,CM,0.9990191378612765,0.9990191378612765,0.0009808621377241796
Jorginho,arsenal,MF,704,704,True,DM,0.9985343643607683,DM,0.9985343643607683,0.9985343643607683,0.001465635638232994,,,,
Martin Ødegaard,arsenal,MF,2325,2325,False,AM,0.9999999999989999,NON_DM,0.9999999999989999,1.6405363841351627e-23,0.9999999999989999,AM,0.9999999999989999,1.8770013990986198e-17,0.9999999999989999
Amadou Onana,aston villa,MF,1617,1617,False,DM,0.9999999987054227,DM,0.9999999987054227,0.9999999987054227,1.2935771379543375e-09,,,,
Boubacar Kamara,aston villa,MF,1726,1726,False,DM,0.9999999780554398,DM,0.9999999780554398,0.9999999780554398,2.1943559975165063e-08,,,,
Marco Asensio,aston villa,MF,743,743,True,AM,0.9999999999989999,NON_DM,0.9999999996111678,3.87832152114891e-10,0.9999999996111678,AM,0.9999999999989999,2.738471502405247e-19,0.9999999999989999
Ross Barkley,aston villa,MF,581,581,True,DM,0.9522865776015021,DM,0.9522865776015021,0.9522865776015021,0.04771342239752743,,,,
Youri Tielemans,aston villa,MF,3026,3026,False,CM,0.9999962964024045,NON_DM,0.9989787590190393,0.0010212409799613459,0.9989787590190393,CM,0.9999962964024045,0.9999962964024045,3.7035965953536507e-06
Alex Scott,bournemouth,MF,755,755,True,DM,0.906196031850416,DM,0.906196031850416,0.906196031850416,0.0938039681486354,,,,
Justin Kluivert,bournemouth,MF,2340,2340,False,AM,0.999999999613991,NON_DM,0.9999999999956329,3.3669181707284192e-12,0.9999999999956329,AM,0.999999999613991,3.8500889382371757e-10,0.999999999613991
Philip Billing,bournemouth,MF,184,184,True,AM,0.9999999999989999,NON_DM,0.9999999999989999,1.954115641081216e-37,0.9999999999989999,AM,0.9999999999989999,8.608184741018725e-74,0.9999999999989999
Ryan Christie,bournemouth,MF,2117,2117,False,DM,0.5847573301607618,DM,0.5847573301607618,0.5847573301607618,0.4152426698383645,,,,
Tyler Adams,bournemouth,MF,1965,1965,False,DM,0.9999999989976635,DM,0.9999999989976635,0.9999999989976635,1.0013364196314403e-09,,,,
Christian Nørgaard,brentford,MF,2819,2819,False,DM,0.9999999987981147,DM,0.9999999987981147,0.9999999987981147,1.2008851292377415e-09,,,,
Frank Onyeka,brentford,MF,25,25,True,DM,0.9381724293221692,DM,0.9381724293221692,0.9381724293221692,0.061827570676867546,,,,
Mathias Jensen,brentford,MF,862,862,True,CM,0.8975315425466815,NON_DM,0.9999701503651298,2.984963387006474e-05,0.9999701503651298,CM,0.8975315425466815,0.8975315425466815,0.10246845745237357
Ryan Trevitt,brentford,MF,4,4,True,DM,0.5544665240010723,DM,0.5544665240010723,0.5544665240010723,0.44553347599805576,,,,
