mf_post,feature,omega2,weight
DM,SCA90,0.27253145806341944,0.05050552844668796
DM,SCA,0.2680575837493085,0.049676430081149345
DM,KP,0.25588811912932574,0.04742118495857536
DM,Touches_AttPen,0.24172158061451332,0.04479584211178936
DM,Touches_Att3rd,0.22706766431220493,0.042080178415859634
DM,PrgR,0.220625892635266,0.04088638932087377
DM,Carry_FinalThird,0.2120758751468164,0.03930190012263199
DM,PrgC,0.21169331459702775,0.03923100400345651
DM,Carry_PrgDist,0.20401219926291658,0.03780753974811551
DM,Pass_Cross,0.1782954478516873,0.03304171150507284
DM,Touches_Mid3rd,0.1709381123685244,0.0316782501300919
DM,Pass_Med_Cmp,0.16327771053251725,0.030258624500116044
DM,Pass_Cmp,0.1465814440903675,0.02716447248647494
DM,Carry_PenArea,0.1402747497370389,0.025995715920425665
DM,PrgP,0.13791848971775783,0.025559053825424873
DM,Pass_Med_Att,0.12890074508444851,0.023887885435034555
DM,xA,0.11718112373564808,0.02171600526522857
DM,Pass_Att,0.1127371150588047,0.020892441599439163
DM,Touches_Def3rd,0.11142738017361235,0.020649721537059032
DM,Touches,0.10142181227734293,0.01879548974451232
DM,Touches_Live,0.10142181227734293,0.01879548974451232
DM,TakeOn_Att,0.09414339637235196,0.017446653745363902
DM,Fld,0.0940397564599796,0.017427447197320863
DM,Pass_Long_Cmp%,0.09113489332966386,0.01688911797652406
DM,Rec,0.09097147349017282,0.01685883301268606
DM,Tackles_Interceptions,0.08922097310007206,0.01653443028913846
DM,PrgDist,0.08759364300375552,0.016232853483819566
DM,FinalThird_Pass,0.0867013601860761,0.01606749563650525
DM,TakeOn_Tackled,0.08419787083523195,0.015603549002514774
DM,Recoveries,0.0814523057424855,0.015094740893244429
DM,Pass_Short_Cmp,0.07960666524515159,0.014752706805499718
DM,xAG,0.07186051378995117,0.013317190056523393
DM,Pass_Short_Att,0.07127479729238669,0.013208645078121105
DM,Touches_DefPen,0.06845759902512913,0.012686561909308254
DM,Pass_Med_Cmp%,0.06681823781143646,0.012382755497377326
DM,GCA,0.0656957932778262,0.012174744082016641
DM,GCA90,0.06480557181790005,0.012009768245510864
DM,Pass_Long_Cmp,0.061615430057166944,0.011418571190350429
DM,Pass_Long_Att,0.060606768248701696,0.011231645989045138
DM,Interceptions,0.04756093158633081,0.008813991603954331
DM,Pass_Cmp%,0.04646253138008,0.00861043608321977
DM,TakeOn_Succ,0.04643407004586621,0.00860516162890547
DM,PPA,0.03595652631666984,0.006663463277358827
DM,Tackles_Won,0.02979807532285824,0.005522179169954589
DM,Pass_TB,0.026615390990457476,0.004932364125375444
DM,A-xAG,0.010448954960472503,0.0019364002810695706
DM,Aerials_Won,0.01030980545636562,0.0019106130956637033
DM,Aerials_Won%,0.008238839748863904,0.001526821741096469
DM,Pass_Switch,0.0,0.0
DM,Pass_Short_Cmp%,0.0,0.0
